year,poll_type,geography_level,state,voter_group_type,voter_group,party_or_alliance,duplicate_count,vote_shares_found,source_tables,source_pages,recommendation
2019,post_poll,national,,gender,,Regional,20,1.5;1.6;1.7;1.9;2.0;2.1;2.4;2.6;3.0;7.0;14.0;18.0;27.0;38.0;67.0;70.0;76.0;86.0;96.0;100.0,2019_post_poll_table_031.csv;2019_post_poll_table_057.csv;2019_post_poll_table_082.csv;2019_post_poll_table_084.csv;2019_post_poll_table_087.csv;2019_post_poll_table_089.csv;2019_post_poll_table_094.csv;2019_post_poll_table_096.csv;2019_post_poll_table_105.csv;2019_post_poll_table_117.csv;2019_post_poll_table_185.csv;2019_post_poll_table_189.csv;2019_post_poll_table_422.csv;2019_post_poll_table_448.csv;2019_post_poll_table_484.csv;2019_post_poll_table_525.csv;2019_post_poll_table_637.csv;2019_post_poll_table_708.csv;2019_post_poll_table_763.csv;2019_post_poll_table_786.csv,,manual_review_conflict
2019,post_poll,national,,other,Valid,INC,4,4.0;6.0;32.0;44.0,2019_post_poll_table_066.csv;2019_post_poll_table_248.csv;2019_post_poll_table_839.csv;2019_post_poll_table_867.csv,,manual_review_conflict
2019,post_poll,national,,religion,,BJP,2,4.0;30.7,2019_post_poll_table_308.csv;2019_post_poll_table_570.csv,,manual_review_conflict
2019,post_poll,national,,religion,,INC,3,7.0;13.0;21.0,2019_post_poll_table_570.csv;2019_post_poll_table_598.csv;2019_post_poll_table_623.csv,,manual_review_conflict
2019,post_poll,national,,religion,,Others,10,1.4;3.0;3.4;12.0;15.0;60.0;100.0,2019_post_poll_table_115.csv;2019_post_poll_table_118.csv;2019_post_poll_table_193.csv;2019_post_poll_table_207.csv;2019_post_poll_table_308.csv;2019_post_poll_table_460.csv;2019_post_poll_table_462.csv;2019_post_poll_table_570.csv;2019_post_poll_table_598.csv;2019_post_poll_table_623.csv,,manual_review_conflict
2019,post_poll,national,,religion,,Regional,7,7.0;28.0;45.0;46.0;90.0;100.0,2019_post_poll_table_118.csv;2019_post_poll_table_308.csv;2019_post_poll_table_460.csv;2019_post_poll_table_462.csv;2019_post_poll_table_570.csv;2019_post_poll_table_598.csv;2019_post_poll_table_623.csv,,manual_review_conflict
2019,pre_poll,national,,age,,INC,2,15.3;17.4,2019_pre_poll_table_016.csv;2019_pre_poll_table_017.csv,,manual_review_conflict
2019,pre_poll,national,,age,,Others,2,1.1;36.0,2019_pre_poll_table_025.csv;2019_pre_poll_table_094.csv,,manual_review_conflict
2019,pre_poll,national,,age,,Regional,2,2.6;41.0,2019_pre_poll_table_017.csv;2019_pre_poll_table_094.csv,,manual_review_conflict
2019,pre_poll,national,,caste,,NDA,3,22.0;33.0;100.0,2019_pre_poll_table_111.csv;2019_pre_poll_table_113.csv;2019_pre_poll_table_114.csv,,manual_review_conflict
