row_index,year,poll_type,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,source_table,source_page,confidence,is_valid,quality_flags,valid,missing_party,missing_group_type,missing_vote_share,invalid_vote_share,duplicate_key,low_confidence,needs_manual_review
141,2019,post_poll,national,,religion,,Regional,7.0,2019_post_poll_table_570.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
142,2019,post_poll,national,,religion,,INC,13.0,2019_post_poll_table_598.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
143,2019,post_poll,national,,religion,,Others,15.0,2019_post_poll_table_598.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
144,2019,post_poll,national,,religion,,Regional,45.0,2019_post_poll_table_598.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
145,2019,post_poll,national,,religion,,INC,21.0,2019_post_poll_table_623.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
146,2019,post_poll,national,,religion,,Others,12.0,2019_post_poll_table_623.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
147,2019,post_poll,national,,religion,,Regional,100.0,2019_post_poll_table_623.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
148,2019,post_poll,national,,gender,,BJP,65.0,2019_post_poll_table_637.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
149,2019,post_poll,national,,gender,,Regional,3.0,2019_post_poll_table_637.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
150,2019,post_poll,national,,gender,,Others,11.0,2019_post_poll_table_637.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
151,2019,post_poll,national,,gender,,Others,65.3,2019_post_poll_table_657.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
152,2019,post_poll,national,,caste,,Regional,19.1,2019_post_poll_table_679.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
153,2019,post_poll,national,,gender,,Others,4.0,2019_post_poll_table_708.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
154,2019,post_poll,national,,gender,,Regional,27.0,2019_post_poll_table_708.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
155,2019,post_poll,national,,caste,,Regional,48.0,2019_post_poll_table_719.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
156,2019,post_poll,national,,caste,,BJP,8.0,2019_post_poll_table_719.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
157,2019,post_poll,national,,caste,,Others,18.0,2019_post_poll_table_719.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
158,2019,post_poll,national,,gender,,Others,20.0,2019_post_poll_table_763.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
159,2019,post_poll,national,,gender,,Regional,76.0,2019_post_poll_table_763.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
160,2019,post_poll,national,,caste,,Regional,84.0,2019_post_poll_table_764.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
161,2019,post_poll,national,,caste,,Regional,96.0,2019_post_poll_table_766.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
162,2019,post_poll,national,,caste,,Regional,3.6,2019_post_poll_table_767.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
163,2019,post_poll,national,,caste,,Regional,99.0,2019_post_poll_table_768.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
