year,poll_type,page,reason,suggested_action
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_323.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_324.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_325.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_326.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_327.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_328.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_329.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_330.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_331.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_332.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_333.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_334.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_335.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_336.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_337.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_338.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_339.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_340.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_341.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_342.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_343.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_344.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_345.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_346.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_347.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_348.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_349.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_350.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_351.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_352.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_353.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_354.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_355.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_356.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_357.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_358.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_359.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_360.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_361.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_362.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_363.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_364.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_365.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_366.csv,inspect extracted CSV and add manual mapping
