election_year,election_type,constituency,candidate,party,votes,vote_share,rank,winner,margin_votes,party_raw,party_clean,party_id,candidate_raw,candidate_clean,candidate_election_id,alliance,state,constituency_id,swing,sim_vote_share_raw,sim_vote_share,sim_rank
2024,lok_sabha,Diphu,AMARSING TISSO,BJP,334620.0,49.00509206577947,1.0,True,147603.0,BJP,BJP,BJP,AMARSING TISSO,AMARSING TISSO,CAND_2024_ASSAM_DIPHU_BJP_AMARSING_TISSO,NDA,Assam,ASSAM__DIPHU,0.0,49.00509206577947,49.005092065779465,1.0
2024,lok_sabha,Guwahati,BIJULI KALITA MEDHI,BJP,894887.0,55.95180409518885,1.0,True,251090.0,BJP,BJP,BJP,BIJULI KALITA MEDHI,BIJULI KALITA MEDHI,CAND_2024_ASSAM_GUWAHATI_BJP_BIJULI_KALITA_MEDHI,NDA,Assam,ASSAM__GUWAHATI,0.0,55.95180409518885,55.95180409518884,1.0
2024,lok_sabha,Jorhat,GAURAV GOGOI,INC,751771.0,54.039147186520594,1.0,True,144393.0,INC,INC,INC,GAURAV GOGOI,GAURAV GOGOI,CAND_2024_ASSAM_JORHAT_INC_GAURAV_GOGOI,INDIA,Assam,ASSAM__JORHAT,0.0,54.039147186520594,54.039147186520594,1.0
2024,lok_sabha,Karimganj,KRIPANATH MALLAH,BJP,545093.0,47.52825486841715,1.0,True,18360.0,BJP,BJP,BJP,KRIPANATH MALLAH,KRIPANATH MALLAH,CAND_2024_ASSAM_KARIMGANJ_BJP_KRIPANATH_MALLAH,NDA,Assam,ASSAM__KARIMGANJ,0.0,47.52825486841715,47.52825486841715,1.0
2024,lok_sabha,Kaziranga,KAMAKHYA PRASAD TASA,BJP,897043.0,55.0354400200744,1.0,True,248947.0,BJP,BJP,BJP,KAMAKHYA PRASAD TASA,KAMAKHYA PRASAD TASA,CAND_2024_ASSAM_KAZIRANGA_BJP_KAMAKHYA_PRASAD_TASA,NDA,Assam,ASSAM__KAZIRANGA,0.0,55.0354400200744,55.0354400200744,1.0
2024,lok_sabha,Kokrajhar,JOYANTA BASUMATARY,UPPL,488995.0,39.387561458111826,1.0,True,51583.0,UPPL,UPPL,UPPL,JOYANTA BASUMATARY,JOYANTA BASUMATARY,CAND_2024_ASSAM_KOKRAJHAR_UPPL_JOYANTA_BASUMATARY,UNKNOWN,Assam,ASSAM__KOKRAJHAR,0.0,39.387561458111826,39.38756145811183,1.0
2024,lok_sabha,Lakhimpur,PRADAN BARUAH,BJP,663122.0,54.74854154592005,1.0,True,201257.0,BJP,BJP,BJP,PRADAN BARUAH,PRADAN BARUAH,CAND_2024_ASSAM_LAKHIMPUR_BJP_PRADAN_BARUAH,NDA,Assam,ASSAM__LAKHIMPUR,0.0,54.74854154592005,54.748541545920034,1.0
2024,lok_sabha,Nagaon,PRADYUT BORDOLOI,INC,788850.0,50.893614056276206,1.0,True,212231.0,INC,INC,INC,PRADYUT BORDOLOI,PRADYUT BORDOLOI,CAND_2024_ASSAM_NAGAON_INC_PRADYUT_BORDOLOI,INDIA,Assam,ASSAM__NAGAON,0.0,50.893614056276206,50.893614056276206,1.0
2024,lok_sabha,Silchar,PARIMAL SUKLABAIDYA,BJP,652405.0,59.885205603684874,1.0,True,264311.0,BJP,BJP,BJP,PARIMAL SUKLABAIDYA,PARIMAL SUKLABAIDYA,CAND_2024_ASSAM_SILCHAR_BJP_PARIMAL_SUKLABAIDYA,NDA,Assam,ASSAM__SILCHAR,0.0,59.885205603684874,59.885205603684874,1.0
2024,lok_sabha,Sonitpur,RANJIT DUTTA,BJP,775788.0,60.2101099910902,1.0,True,361408.0,BJP,BJP,BJP,RANJIT DUTTA,RANJIT DUTTA,CAND_2024_ASSAM_SONITPUR_BJP_RANJIT_DUTTA,NDA,Assam,ASSAM__SONITPUR,0.0,60.2101099910902,60.210109991090185,1.0
2024,lok_sabha,Araria,PRADEEP KUMAR SINGH,BJP,600146.0,47.91355304336719,1.0,True,20094.0,BJP,BJP,BJP,PRADEEP KUMAR SINGH,PRADEEP KUMAR SINGH,CAND_2024_BIHAR_ARARIA_BJP_PRADEEP_KUMAR_SINGH,NDA,Bihar,BIHAR__ARARIA,0.0,47.91355304336719,47.913553043367195,1.0
2024,lok_sabha,Arrah,SUDAMA PRASAD,CPI(ML)(L),529382.0,48.27656646552266,1.0,True,59808.0,CPI(ML)(L),CPI(ML)(L),CPI(ML)(L),SUDAMA PRASAD,SUDAMA PRASAD,CAND_2024_BIHAR_ARRAH_CPIMLL_SUDAMA_PRASAD,UNKNOWN,Bihar,BIHAR__ARRAH,0.0,48.27656646552266,48.27656646552266,1.0
2024,lok_sabha,Aurangabad,ABHAY KUMAR SINHA,RJD,465567.0,49.220514230134896,1.0,True,79111.0,RJD,RJD,RJD,ABHAY KUMAR SINHA,ABHAY KUMAR SINHA,CAND_2024_BIHAR_AURANGABAD_RJD_ABHAY_KUMAR_SINHA,INDIA,Bihar,BIHAR__AURANGABAD,0.0,49.220514230134896,49.22051423013489,1.0
2024,lok_sabha,Banka,GIRIDHARI YADAV,JD(U),506678.0,49.96060759943007,1.0,True,103844.0,JD(U),JD(U),JDU,GIRIDHARI YADAV,GIRIDHARI YADAV,CAND_2024_BIHAR_BANKA_JDU_GIRIDHARI_YADAV,NDA,Bihar,BIHAR__BANKA,0.0,49.96060759943007,49.96060759943007,1.0
2024,lok_sabha,Begusarai,GIRIRAJ SINGH,BJP,649331.0,50.15405434422438,1.0,True,81480.0,BJP,BJP,BJP,GIRIRAJ SINGH,GIRIRAJ SINGH,CAND_2024_BIHAR_BEGUSARAI_BJP_GIRIRAJ_SINGH,NDA,Bihar,BIHAR__BEGUSARAI,0.0,50.15405434422438,50.15405434422438,1.0
2024,lok_sabha,Bhagalpur,AJAY KUMAR MANDAL,JD(U),536031.0,50.37501844314484,1.0,True,104868.0,JD(U),JD(U),JDU,AJAY KUMAR MANDAL,AJAY KUMAR MANDAL,CAND_2024_BIHAR_BHAGALPUR_JDU_AJAY_KUMAR_MANDAL,NDA,Bihar,BIHAR__BHAGALPUR,0.0,50.37501844314484,50.37501844314484,1.0
2024,lok_sabha,Buxar,SUDHAKAR SINGH,RJD,438345.0,40.823406369585726,1.0,True,30091.0,RJD,RJD,RJD,SUDHAKAR SINGH,SUDHAKAR SINGH,CAND_2024_BIHAR_BUXAR_RJD_SUDHAKAR_SINGH,INDIA,Bihar,BIHAR__BUXAR,0.0,40.823406369585726,40.82340636958573,1.0
2024,lok_sabha,Darbhanga,GOPAL JEE THAKUR,BJP,566630.0,55.32501972301852,1.0,True,178156.0,BJP,BJP,BJP,GOPAL JEE THAKUR,GOPAL JEE THAKUR,CAND_2024_BIHAR_DARBHANGA_BJP_GOPAL_JEE_THAKUR,NDA,Bihar,BIHAR__DARBHANGA,0.0,55.32501972301852,55.32501972301852,1.0
