state_2019,constituency_id_2019,constituency_id,constituency_2019,party_2019,winner_2019,vote_share_2019,state_2024,constituency_id_2024,constituency_2024,party_2024,winner_2024,vote_share_2024,state,constituency,seat_flipped,max_positive_swing,max_negative_swing,avg_abs_swing,swing_range,top2_margin_pct,effective_num_parties,winner_vote_share,margin_votes,winner_vote_share_change,flip_score,close_margin_score,fragmentation_score,swing_score,volatility_score
Uttar Pradesh,UTTAR_PRADESH__MACHHLISHAHR,UTTAR_PRADESH__MACHHLISHAHR,Machhlishahr,BJP,Bholanath (B.P. Saroj),47.19153561852308,Uttar Pradesh,UTTAR_PRADESH__MACHHLISHAHR,Machhlishahr,SP,PRIYA SAROJ,42.57218674739143,Uttar Pradesh,Machhlishahr,True,42.57218674739143,-32.33615471827548,3.4135868905926383,74.90834146566691,3.381874473498278,2.8010430632120467,42.57218674739143,35850.0,-4.619348871131656,40,16.61812552650172,14.005215316060234,6.827173781185277,77.45051462374724
Maharashtra,MAHARASHTRA__SATARA,MAHARASHTRA__SATARA,Satara,NCP,SHRIMANT CHH. UDAYANRAJE PRATAPSINHMAHARAJ BHONSLE,51.910377485355475,Maharashtra,MAHARASHTRA__SATARA,Satara,BJP,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,47.673797416369226,Maharashtra,Satara,True,47.673797416369226,-51.910377485355475,4.2786035149088475,99.58417490172471,2.735466659543711,2.3234736801147475,47.673797416369226,32771.0,-4.23658006898625,40,17.26453334045629,11.617368400573739,8.557207029817695,77.43910877084771
Uttar Pradesh,UTTAR_PRADESH__FATEHPUR,UTTAR_PRADESH__FATEHPUR,Fatehpur,BJP,NIRANJAN JYOTI,54.23631372436294,Uttar Pradesh,UTTAR_PRADESH__FATEHPUR,Fatehpur,SP,NARESH CHANDRA UTTAM PATEL,45.19903445883441,Uttar Pradesh,Fatehpur,True,45.19903445883441,-27.026763322437937,3.5581324628252133,72.22579778127235,2.9991580423219233,2.568535157164503,45.19903445883441,33199.0,-9.037279265528525,40,17.000841957678077,12.842675785822514,7.116264925650427,76.95978266915102
Uttar Pradesh,UTTAR_PRADESH__SULTANPUR,UTTAR_PRADESH__SULTANPUR,Sultanpur,BJP,MANEKA SANJAI GANDHI,45.905093990299065,Uttar Pradesh,UTTAR_PRADESH__SULTANPUR,Sultanpur,SP,RAMBHUAL NISHAD,42.99744432627854,Uttar Pradesh,Sultanpur,True,42.99744432627854,-28.677159287141272,3.4140377622534803,71.6746036134198,4.177912050374161,2.773341474936489,42.99744432627854,43174.0,-2.907649664020525,40,15.822087949625839,13.866707374682445,6.828075524506961,76.51687084881524
Karnataka,KARNATAKA__HASSAN,KARNATAKA__HASSAN,Hassan,JD(S),PRAJWAL REVANNA,52.96113191478703,Karnataka,KARNATAKA__HASSAN,Hassan,INC,SHREYAS. M. PATEL,49.6667544890912,Karnataka,Hassan,True,49.6667544890912,-41.89903816048192,4.334339760502095,91.56579264957313,3.147511415070177,2.15859428581532,49.6667544890912,42649.0,-3.294377425695835,40,16.852488584929823,10.792971429076601,8.66867952100419,76.31413953501063
Odisha,ODISHA__KANDHAMAL,ODISHA__KANDHAMAL,Kandhamal,BJD,ACHYUTANANDA SAMANTA,49.01128998869409,Odisha,ODISHA__KANDHAMAL,Kandhamal,BJP,SUKANTA KUMAR PANIGRAHI,41.80491541435472,Odisha,Kandhamal,True,8.6342173671459,-9.351861281879144,2.151679566710528,17.986078649025046,2.1454867075397743,2.829439236479645,41.80491541435472,21371.0,-7.206374574339371,40,17.854513292460226,14.147196182398226,4.303359133421056,76.3050686082795
Odisha,ODISHA__NABARANGPUR,ODISHA__NABARANGPUR,Nabarangpur,BJD,RAMESH CHANDRA MAJHI,33.84530482021212,Odisha,ODISHA__NABARANGPUR,Nabarangpur,BJP,BALABHADRA MAJHI,38.74492444515986,Odisha,Nabarangpur,True,9.18219270419237,-5.836879905450228,3.6122912949667434,15.019072609642599,7.045292661824181,3.2080512682144597,38.74492444515986,87536.0,4.899619624947739,40,12.954707338175819,16.0402563410723,7.224582589933487,76.2195462691816
Uttar Pradesh,UTTAR_PRADESH__BANDA,UTTAR_PRADESH__BANDA,Banda,BJP,R.K. SINGH PATEL,46.19655521391447,Uttar Pradesh,UTTAR_PRADESH__BANDA,Banda,SP,KRISHNA DEVI SHIVSHANKER PATEL,38.938276003417194,Uttar Pradesh,Banda,True,23.535817310455,-14.078298135307548,3.229117582834354,37.61411544576255,6.82001892481027,3.2198898895654056,38.938276003417194,71210.0,-7.258279210497278,40,13.17998107518973,16.099449447827027,6.458235165668708,75.73766568868547
Bihar,BIHAR__AURANGABAD,BIHAR__AURANGABAD,Aurangabad,BJP,SUSHIL KUMAR SINGH,45.75040565792528,Bihar,BIHAR__AURANGABAD,Aurangabad,RJD,ABHAY KUMAR SINHA,49.220514230134896,Bihar,Aurangabad,True,49.220514230134896,-38.20393817099351,5.906054565143126,87.4244524011284,8.363745929716238,2.43453197920025,49.220514230134896,79111.0,3.470108572209618,40,11.636254070283762,12.17265989600125,11.812109130286252,75.62102309657126
Telangana,TELANGANA__MAHBUBNAGAR,TELANGANA__MAHBUBNAGAR,Mahbubnagar,TRS,MANNE SRINIVAS REDDY,41.782225679795744,Telangana,TELANGANA__MAHBUBNAGAR,Mahbubnagar,BJP,ARUNA. D. K,41.65697451548759,Telangana,Mahbubnagar,True,21.624673916931343,-41.782225679795744,0.9333875636196465,63.40689959672709,0.3670239576927372,2.777208737943061,41.65697451548759,4500.0,-0.1252511643081533,40,19.632976042307263,13.886043689715304,1.866775127239293,75.38579485926186
Uttar Pradesh,UTTAR_PRADESH__SANT_KABIR_NAGAR,UTTAR_PRADESH__SANT_KABIR_NAGAR,Sant Kabir Nagar,BJP,PRAVEEN KUMAR NISHAD,43.96721804794102,Uttar Pradesh,UTTAR_PRADESH__SANT_KABIR_NAGAR,Sant Kabir Nagar,SP,LAXMIKANT PAPPU NISHAD,45.70143749736529,Uttar Pradesh,Sant Kabir Nagar,True,45.70143749736529,-26.78469981222089,5.037858379279858,72.48613730958618,8.446648741479578,2.7254800440976,45.70143749736529,92170.0,1.7342194494242733,40,11.553351258520422,13.627400220488,10.075716758559716,75.25646823756814
Tamil Nadu,TAMIL_NADU__VILUPPURAM,TAMIL_NADU__VILUPPURAM,Viluppuram,DMK,RAVIKUMAR D,49.27919756239322,Tamil Nadu,TAMIL_NADU__VILUPPURAM,VILUPPURAM,VCK,RAVIKUMAR. D,41.38515286722011,Tamil Nadu,VILUPPURAM,True,41.38515286722011,-49.27919756239322,2.91510968407765,90.66435042961334,6.133861731098399,3.0959715491893367,41.38515286722011,70703.0,-7.894044695173115,40,13.8661382689016,15.479857745946683,5.8302193681553,75.17621538300358
