state_2019,constituency_id_2019,constituency_id,constituency_2019,party_2019,winner_2019,vote_share_2019,state_2024,constituency_id_2024,constituency_2024,party_2024,winner_2024,vote_share_2024,state,constituency,seat_flipped
Assam,ASSAM__KARIMGANJ,ASSAM__KARIMGANJ,Karimganj,BJP,KRIPANATH MALLAH,44.62395007131591,Assam,ASSAM__KARIMGANJ,Karimganj,BJP,KRIPANATH MALLAH,47.52825486841715,Assam,Karimganj,False
Assam,ASSAM__KOKRAJHAR,ASSAM__KOKRAJHAR,Kokrajhar,IND,Naba Kumar Sarania,32.75193732954373,Assam,ASSAM__KOKRAJHAR,Kokrajhar,UPPL,JOYANTA BASUMATARY,39.387561458111826,Assam,Kokrajhar,True
Assam,ASSAM__LAKHIMPUR,ASSAM__LAKHIMPUR,Lakhimpur,BJP,PRADAN BARUAH,60.48711854028041,Assam,ASSAM__LAKHIMPUR,Lakhimpur,BJP,PRADAN BARUAH,54.74854154592005,Assam,Lakhimpur,False
Assam,ASSAM__MANGALDOI,ASSAM__DARRANG-UDALGURI,Mangaldoi,BJP,DILIP SAIKIA,48.83245347110133,Assam,ASSAM__DARRANG-UDALGURI,Darrang-Udalguri,BJP,DILIP SAIKIA,47.9453953180212,Assam,Darrang-Udalguri,False
Assam,ASSAM__NOWGONG,ASSAM__NAGAON,Nowgong,INC,Pradyut Bordoloi,49.530390532148175,Assam,ASSAM__NAGAON,Nagaon,INC,PRADYUT BORDOLOI,50.893614056276206,Assam,Nagaon,False
Assam,ASSAM__SILCHAR,ASSAM__SILCHAR,Silchar,BJP,RAJDEEP ROY,52.58672248803827,Assam,ASSAM__SILCHAR,Silchar,BJP,PARIMAL SUKLABAIDYA,59.885205603684874,Assam,Silchar,False
Assam,ASSAM__TEZPUR,ASSAM__SONITPUR,Tezpur,BJP,PALLAB LOCHAN DAS,57.48347331027831,Assam,ASSAM__SONITPUR,Sonitpur,BJP,RANJIT DUTTA,60.2101099910902,Assam,Sonitpur,False
Bihar,BIHAR__ARARIA,BIHAR__ARARIA,Araria,BJP,PRADEEP KUMAR SINGH,52.874327778870246,Bihar,BIHAR__ARARIA,Araria,BJP,PRADEEP KUMAR SINGH,47.91355304336719,Bihar,Araria,False
Bihar,BIHAR__ARRAH,BIHAR__ARRAH,Arrah,BJP,R. K. Singh,52.41865337138331,Bihar,BIHAR__ARRAH,Arrah,CPI(ML)(L),SUDAMA PRASAD,48.27656646552266,Bihar,Arrah,True
Bihar,BIHAR__AURANGABAD,BIHAR__AURANGABAD,Aurangabad,BJP,SUSHIL KUMAR SINGH,45.75040565792528,Bihar,BIHAR__AURANGABAD,Aurangabad,RJD,ABHAY KUMAR SINHA,49.220514230134896,Bihar,Aurangabad,True
Bihar,BIHAR__BANKA,BIHAR__BANKA,Banka,JDU,GIRIDHARI YADAV,47.980028238431984,Bihar,BIHAR__BANKA,Banka,JDU,GIRIDHARI YADAV,49.96060759943007,Bihar,Banka,False
Bihar,BIHAR__BEGUSARAI,BIHAR__BEGUSARAI,Begusarai,BJP,Giriraj Singh,56.47816487352255,Bihar,BIHAR__BEGUSARAI,Begusarai,BJP,GIRIRAJ SINGH,50.15405434422438,Bihar,Begusarai,False
Bihar,BIHAR__BHAGALPUR,BIHAR__BHAGALPUR,Bhagalpur,JDU,AJAY KUMAR MANDAL,59.30391609545352,Bihar,BIHAR__BHAGALPUR,Bhagalpur,JDU,AJAY KUMAR MANDAL,50.37501844314484,Bihar,Bhagalpur,False
Bihar,BIHAR__BUXAR,BIHAR__BUXAR,Buxar,BJP,Ashwini Kumar Choubey,47.93511953557796,Bihar,BIHAR__BUXAR,Buxar,RJD,SUDHAKAR SINGH,40.823406369585726,Bihar,Buxar,True
Bihar,BIHAR__DARBHANGA,BIHAR__DARBHANGA,Darbhanga,BJP,Gopal Jee Thakur,60.7948633983975,Bihar,BIHAR__DARBHANGA,Darbhanga,BJP,GOPAL JEE THAKUR,55.32501972301852,Bihar,Darbhanga,False
Bihar,BIHAR__GAYA_(SC),BIHAR__GAYA,Gaya (SC),JDU,Vijay Kumar,48.78641689509928,Bihar,BIHAR__GAYA,Gaya,HAMS,JITAN RAM MANJHI,51.36166097319016,Bihar,Gaya,True
Bihar,BIHAR__GOPALGANJ_(SC),BIHAR__GOPALGANJ,Gopalganj (SC),JDU,DR. ALOK KUMAR SUMAN,55.4359746935239,Bihar,BIHAR__GOPALGANJ,Gopalganj,JDU,DR. ALOK KUMAR SUMAN,48.15174026623971,Bihar,Gopalganj,False
Bihar,BIHAR__HAJIPUR_(SC),BIHAR__HAJIPUR,Hajipur (SC),LJP,PASHU PATI KUMAR PARAS,53.76448748878892,Bihar,BIHAR__HAJIPUR,Hajipur,LJPRV,CHIRAG PASWAN,53.29396775276892,Bihar,Hajipur,True
Bihar,BIHAR__JAHANABAD,BIHAR__JAHANABAD,Jahanabad,JDU,CHANDESHWAR PRASAD,40.822076113202726,Bihar,BIHAR__JAHANABAD,Jahanabad,RJD,SURENDRA PRASAD YADAV,47.87652506564942,Bihar,Jahanabad,True
Bihar,BIHAR__JAMUI_(SC),BIHAR__JAMUI,Jamui (SC),LJP,CHIRAG KUMAR PASWAN,55.748959317780255,Bihar,BIHAR__JAMUI,Jamui,LJPRV,ARUN BHARTI,51.98415494575856,Bihar,Jamui,True
Bihar,BIHAR__JHANJHARPUR,BIHAR__JHANJHARPUR,Jhanjharpur,JDU,Ramprit Mandal,56.799225316388856,Bihar,BIHAR__JHANJHARPUR,Jhanjharpur,JDU,RAMPRIT MANDAL,48.734755303129354,Bihar,Jhanjharpur,False
Bihar,BIHAR__KARAKAT,BIHAR__KARAKAT,Karakat,JDU,MAHABALI SINGH,45.85737996634431,Bihar,BIHAR__KARAKAT,Karakat,CPI(ML)(L),RAJA RAM SINGH FATHER-LATE DIPAN SINGH,36.89165950962469,Bihar,Karakat,True
Bihar,BIHAR__KATIHAR,BIHAR__KATIHAR,Katihar,JDU,DULAL CHANDRA GOSWAMI,50.049743498900455,Bihar,BIHAR__KATIHAR,Katihar,INC,TARIQ ANWAR,48.4054403326886,Bihar,Katihar,True
Bihar,BIHAR__KHAGARIA,BIHAR__KHAGARIA,Khagaria,LJP,Choudhary Mehboob Ali Kaiser,52.77059783019054,Bihar,BIHAR__KHAGARIA,Khagaria,LJPRV,RAJESH VERMA,50.72606116994728,Bihar,Khagaria,True
Bihar,BIHAR__KISHANGANJ,BIHAR__KISHANGANJ,Kishanganj,INC,Dr. Mohammad Jawed,33.31663040133333,Bihar,BIHAR__KISHANGANJ,Kishanganj,INC,MOHAMMAD JAWED,34.99698983319419,Bihar,Kishanganj,False
