state,constituency_id,constituency_x,actual_winner,actual_party,actual_vote_share,constituency_y,sim_winner,sim_party,sim_vote_share,sim_alliance,flipped,volatility_score,top2_margin_pct,effective_num_parties
Himachal Pradesh,HIMACHAL_PRADESH__HAMIRPUR,HAMIRPUR,ANURAG SINGH THAKUR,BJP,57.96710090970463,HAMIRPUR,ANURAG SINGH THAKUR,BJP,57.96710090970463,NDA,False,14.016348135644082,17.412722496641244,1.9979078612256809
West Bengal,WEST_BENGAL__JAYNAGAR,Jaynagar,PRATIMA MONDAL,AITC,60.31925678068245,Jaynagar,PRATIMA MONDAL,AITC,61.51169828923627,INDIA,False,14.012724391477605,31.715173903688783,2.229168142844208
Bihar,BIHAR__MUZAFFARPUR,Muzaffarpur,RAJ BHUSHAN CHOUDHARY,BJP,55.70977832910846,Muzaffarpur,RAJ BHUSHAN CHOUDHARY,BJP,55.709778329108474,NDA,False,13.98033266295426,21.11779299929885,2.3215275701068987
Madhya Pradesh,MADHYA_PRADESH__REWA,REWA,JANARDAN MISHRA,BJP,52.00347663563617,REWA,JANARDAN MISHRA,BJP,52.00347663563617,NDA,False,13.940912143517863,21.061746225203645,2.613262966152691
Jharkhand,JHARKHAND__DHANBAD,Dhanbad,DULU MAHATO,BJP,55.26387475691645,Dhanbad,DULU MAHATO,BJP,55.263874756916465,NDA,False,13.651332167463575,23.219984215763645,2.4284889249327146
Gujarat,GUJARAT__BHAVNAGAR,Bhavnagar,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),BJP,68.45503193179735,Bhavnagar,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),BJP,68.45503193179734,NDA,False,13.591152018280994,43.47546675426267,1.8811058201463409
Tamil Nadu,TAMIL_NADU__CHENNAI_CENTRAL,CHENNAI CENTRAL,DAYANIDHI MARAN,DMK,56.648903769630785,CHENNAI CENTRAL,DAYANIDHI MARAN,DMK,56.648903769630785,INDIA,False,13.395476456556777,33.49385188399409,2.574021347055115
Maharashtra,MAHARASHTRA__JALGAON,Jalgaon,SMITA UDAY WAGH,BJP,57.66544996250704,Jalgaon,SMITA UDAY WAGH,BJP,55.78107139031332,NDA,False,13.3346157555797,21.5119793630558,2.155958152823786
Gujarat,GUJARAT__DAHOD,Dahod,JASWANTSINH SUMANBHAI BHABHOR,BJP,61.58621972397241,Dahod,JASWANTSINH SUMANBHAI BHABHOR,BJP,61.58621972397241,NDA,False,13.292197281256112,29.838039012996585,2.0777660963729145
Assam,ASSAM__SONITPUR,Sonitpur,RANJIT DUTTA,BJP,60.2101099910902,Sonitpur,RANJIT DUTTA,BJP,60.210109991090185,NDA,False,13.276854299396028,28.04943545357743,2.140518035862787
Uttar Pradesh,UTTAR_PRADESH__MAINPURI,Mainpuri,DIMPLE YADAV,SP,56.78555536896673,Mainpuri,DIMPLE YADAV,SP,58.99060235718083,INDIA,False,13.174752514109198,21.02814866258511,2.2008635834820223
Madhya Pradesh,MADHYA_PRADESH__KHANDWA,KHANDWA,GYANESHWAR PATIL,BJP,57.035044316124775,KHANDWA,GYANESHWAR PATIL,BJP,57.035044316124775,NDA,False,12.973983740403396,17.848826677209622,2.087406171444114
Telangana,TELANGANA__NALGONDA,Nalgonda,KUNDURU RAGHUVEER,INC,60.504704070895855,Nalgonda,KUNDURU RAGHUVEER,INC,60.504704070895855,INDIA,False,12.883190725805434,43.19174835920649,2.354716295955941
Madhya Pradesh,MADHYA_PRADESH__KHAJURAHO,KHAJURAHO,VISHNU DATT SHARMA (V.D.SHARMA),BJP,67.75331632429399,KHAJURAHO,VISHNU DATT SHARMA (V.D.SHARMA),BJP,67.753316324294,NDA,False,12.833159115896365,47.452501819265805,1.9884898466631853
Andhra Pradesh,ANDHRA_PRADESH__SRIKAKULAM,Srikakulam,KINJARAPU RAMMOHAN NAIDU,TDP,61.04528173014827,Srikakulam,KINJARAPU RAMMOHAN NAIDU,TDP,61.04528173014828,NDA,False,12.769288880642192,26.535948452924124,2.0315799943134
NCT OF Delhi,NCT_OF_DELHI__NORTH-WEST_DELHI,North-West Delhi,YOGENDER CHANDOLIYA,BJP,58.26243421393256,North-West Delhi,YOGENDER CHANDOLIYA,BJP,58.26243421393256,NDA,False,12.709142000217852,19.55672613160105,2.0433903253509467
Tripura,TRIPURA__TRIPURA_EAST,Tripura East,KRITI DEVI DEBBARMAN,BJP,68.53708527828836,Tripura East,KRITI DEVI DEBBARMAN,BJP,68.53708527828836,NDA,False,12.690342672743077,42.91630853047354,1.86594623051425
Maharashtra,MAHARASHTRA__CHANDRAPUR,Chandrapur,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,INC,57.875427775951735,Chandrapur,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,INC,60.48023007671893,INDIA,False,12.62625190546071,20.978422690976583,2.1205317548840954
