candidate_election_id,candidate_clean,candidate_raw,party_id,state,constituency,election_year
CAND_2019_ANDHRA_PRADESH_ARUKU_IND_ANUMULA_VAMSIKRISHNA,ANUMULA VAMSIKRISHNA,ANUMULA VAMSIKRISHNA,IND,Andhra Pradesh,Aruku,2019
CAND_2019_ANDHRA_PRADESH_ARUKU_IND_BIDDIKA_RAMAYYA,BIDDIKA RAMAYYA.,BIDDIKA RAMAYYA.,IND,Andhra Pradesh,Aruku,2019
CAND_2019_ANDHRA_PRADESH_ARUKU_JAJGP_SWAMULA_SUBRAHMANYAM,SWAMULA. SUBRAHMANYAM,SWAMULA. SUBRAHMANYAM,JAJGP,Andhra Pradesh,Aruku,2019
CAND_2019_ANDHRA_PRADESH_ARUKU_JNP_GANGULAIAH_VAMPURU,GANGULAIAH VAMPURU.,GANGULAIAH VAMPURU.,JNP,Andhra Pradesh,Aruku,2019
CAND_2019_ANDHRA_PRADESH_ARUKU_NOTA_NOTA,NOTA,NOTA,NOTA,Andhra Pradesh,Aruku,2019
CAND_2019_ANDHRA_PRADESH_ARUKU_TDP_KISHORE_CHANDRA_DEO,KISHORE CHANDRA DEO,KISHORE CHANDRA DEO,TDP,Andhra Pradesh,Aruku,2019
CAND_2019_ANDHRA_PRADESH_ARUKU_YSRCP_GODDETI_MADHAVI,GODDETI. MADHAVI,GODDETI. MADHAVI,YSRCP,Andhra Pradesh,Aruku,2019
CAND_2019_ANDHRA_PRADESH_BAPATLA_AINPP_NUTHAKKI_RAMA_RAO,NUTHAKKI RAMA RAO,NUTHAKKI RAMA RAO,AINPP,Andhra Pradesh,Bapatla,2019
CAND_2019_ANDHRA_PRADESH_BAPATLA_ALPP_THUMATI_RAVI,THUMATI RAVI,THUMATI RAVI,ALPP,Andhra Pradesh,Bapatla,2019
CAND_2019_ANDHRA_PRADESH_BAPATLA_BJP_CHALLAGALI_KISHORE_KUMAR,CHALLAGALI KISHORE KUMAR,CHALLAGALI KISHORE KUMAR,BJP,Andhra Pradesh,Bapatla,2019
CAND_2019_ANDHRA_PRADESH_BAPATLA_BSP_K_DEVANAND,K. DEVANAND,K. DEVANAND,BSP,Andhra Pradesh,Bapatla,2019
CAND_2019_ANDHRA_PRADESH_BAPATLA_INC_J_D_SEELAM,J.D. SEELAM,J.D. SEELAM,INC,Andhra Pradesh,Bapatla,2019
CAND_2019_ANDHRA_PRADESH_BAPATLA_IND_BUSSA_NAGARAJU,BUSSA NAGARAJU,BUSSA NAGARAJU,IND,Andhra Pradesh,Bapatla,2019
CAND_2019_ANDHRA_PRADESH_BAPATLA_IND_GOLLA_BABURAO,GOLLA BABURAO,GOLLA BABURAO,IND,Andhra Pradesh,Bapatla,2019
CAND_2019_ANDHRA_PRADESH_BAPATLA_IND_GELLA_NAGAMALLI,GELLA NAGAMALLI,GELLA NAGAMALLI,IND,Andhra Pradesh,Bapatla,2019
CAND_2019_ANDHRA_PRADESH_BAPATLA_MPP_CHINA_NAGESWARA_RAO_SADHU,CHINA NAGESWARA RAO SADHU,CHINA NAGESWARA RAO SADHU,MPP,Andhra Pradesh,Bapatla,2019
CAND_2019_ANDHRA_PRADESH_BAPATLA_NOTA_NOTA,NOTA,NOTA,NOTA,Andhra Pradesh,Bapatla,2019
CAND_2019_ANDHRA_PRADESH_BAPATLA_NPT_GADDE_HARI_BABU,GADDE HARI BABU,GADDE HARI BABU,NPT,Andhra Pradesh,Bapatla,2019
CAND_2019_ANDHRA_PRADESH_BAPATLA_PPOI_KUMAR_KATTEPOGU,KUMAR KATTEPOGU,KUMAR KATTEPOGU,PPOI,Andhra Pradesh,Bapatla,2019
CAND_2019_ANDHRA_PRADESH_BAPATLA_TDP_MALYADRI_SRIRAM,MALYADRI SRIRAM,MALYADRI SRIRAM,TDP,Andhra Pradesh,Bapatla,2019
CAND_2019_ANDHRA_PRADESH_BAPATLA_YSRCP_NANDIGAM_SURESH,NANDIGAM SURESH,NANDIGAM SURESH,YSRCP,Andhra Pradesh,Bapatla,2019
CAND_2019_ANDHRA_PRADESH_CHITTOOR_BJP_JAYARAM_DUGGANI,JAYARAM DUGGANI,JAYARAM DUGGANI,BJP,Andhra Pradesh,Chittoor,2019
CAND_2019_ANDHRA_PRADESH_CHITTOOR_BSP_C_PUNYAMURTHY,C. PUNYAMURTHY,C. PUNYAMURTHY,BSP,Andhra Pradesh,Chittoor,2019
CAND_2019_ANDHRA_PRADESH_CHITTOOR_INC_CHEEMALA_RANGAPPA,CHEEMALA. RANGAPPA,CHEEMALA. RANGAPPA,INC,Andhra Pradesh,Chittoor,2019
CAND_2019_ANDHRA_PRADESH_CHITTOOR_IND_A_HEMANTH,A. HEMANTH,A. HEMANTH,IND,Andhra Pradesh,Chittoor,2019
CAND_2019_ANDHRA_PRADESH_CHITTOOR_IND_P_RAMACHANDRAN,P. RAMACHANDRAN,P. RAMACHANDRAN,IND,Andhra Pradesh,Chittoor,2019
CAND_2019_ANDHRA_PRADESH_CHITTOOR_MPP_PALLIPATTU_ABHINAV_VISHNU,PALLIPATTU. ABHINAV VISHNU,PALLIPATTU. ABHINAV VISHNU,MPP,Andhra Pradesh,Chittoor,2019
CAND_2019_ANDHRA_PRADESH_CHITTOOR_NOTA_NOTA,NOTA,NOTA,NOTA,Andhra Pradesh,Chittoor,2019
