election_year,election_type,constituency_id,state,constituency,candidate,party,votes,vote_share,rank,winner,margin_votes,party_raw,party_clean,party_id,candidate_raw,candidate_clean,candidate_election_id
2019,lok_sabha,ANDHRA_PRADESH__ANAKAPALLI,Andhra Pradesh,Anakapalli,Appala Naidu Tummagunta,IND,3765.0,0.3039989794031608,8.0,False,,IND,IND,IND,Appala Naidu Tummagunta,APPALA NAIDU TUMMAGUNTA,CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_IND_APPALA_NAIDU_TUMMAGUNTA
2019,lok_sabha,ANDHRA_PRADESH__ANAKAPALLI,Andhra Pradesh,Anakapalli,P.S.AJAY KUMAR,CPI(ML)(L),2716.0,0.2192991309585616,9.0,False,,CPI(ML)(L),CPI(ML)(L),CPI(ML)(L),P.S.AJAY KUMAR,P.S.AJAY KUMAR,CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_CPIMLL_P_S_AJAY_KUMAR
2019,lok_sabha,ANDHRA_PRADESH__ANAKAPALLI,Andhra Pradesh,Anakapalli,Taadi Veera Jagadeeshwari,PPOI,1803.0,0.1455803877460554,10.0,False,,PPOI,PPOI,PPOI,Taadi Veera Jagadeeshwari,TAADI VEERA JAGADEESHWARI,CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_PPOI_TAADI_VEERA_JAGADEESHWARI
2019,lok_sabha,ANDHRA_PRADESH__ANAKAPALLI,Andhra Pradesh,Anakapalli,K B SWAROOP,JAJGP,1621.0,0.1308850851560487,11.0,False,,JAJGP,JAJGP,JAJGP,K B SWAROOP,K B SWAROOP,CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_JAJGP_K_B_SWAROOP
2019,lok_sabha,ANDHRA_PRADESH__ANANTAPUR,Andhra Pradesh,Anantapur,TALARI RANGAIAH,YSRCP,695208.0,51.79206529658662,1.0,True,141428.0,YSRCP,YSRCP,YSRCP,TALARI RANGAIAH,TALARI RANGAIAH,CAND_2019_ANDHRA_PRADESH_ANANTAPUR_YSRCP_TALARI_RANGAIAH
2019,lok_sabha,ANDHRA_PRADESH__ANANTAPUR,Andhra Pradesh,Anantapur,J.C. PAVAN REDDY,TDP,553780.0,41.25586863204068,2.0,False,,TDP,TDP,TDP,J.C. PAVAN REDDY,J.C. PAVAN REDDY,CAND_2019_ANDHRA_PRADESH_ANANTAPUR_TDP_J_C_PAVAN_REDDY
2019,lok_sabha,ANDHRA_PRADESH__ANANTAPUR,Andhra Pradesh,Anantapur,K.RAJIV REDDY,INC,30079.0,2.2408452320111807,3.0,False,,INC,INC,INC,K.RAJIV REDDY,K.RAJIV REDDY,CAND_2019_ANDHRA_PRADESH_ANANTAPUR_INC_K_RAJIV_REDDY
2019,lok_sabha,ANDHRA_PRADESH__ANANTAPUR,Andhra Pradesh,Anantapur,D.JAGADEESH,CPI,20294.0,1.5118758315913063,4.0,False,,CPI,CPI,CPI,D.JAGADEESH,D.JAGADEESH,CAND_2019_ANDHRA_PRADESH_ANANTAPUR_CPI_D_JAGADEESH
2019,lok_sabha,ANDHRA_PRADESH__ANANTAPUR,Andhra Pradesh,Anantapur,NOTA,NOTA,16466.0,1.2266949562916356,5.0,False,,NOTA,NOTA,NOTA,NOTA,NOTA,CAND_2019_ANDHRA_PRADESH_ANANTAPUR_NOTA_NOTA
2019,lok_sabha,ANDHRA_PRADESH__ANANTAPUR,Andhra Pradesh,Anantapur,HAMSA DEVINENI,BJP,7604.0,0.5664878202138708,6.0,False,,BJP,BJP,BJP,HAMSA DEVINENI,HAMSA DEVINENI,CAND_2019_ANDHRA_PRADESH_ANANTAPUR_BJP_HAMSA_DEVINENI
2019,lok_sabha,ANDHRA_PRADESH__ANANTAPUR,Andhra Pradesh,Anantapur,S.V.P. YADAV,IND,4398.0,0.3276451122173334,7.0,False,,IND,IND,IND,S.V.P. YADAV,S.V.P. YADAV,CAND_2019_ANDHRA_PRADESH_ANANTAPUR_IND_S_V_P_YADAV
2019,lok_sabha,ANDHRA_PRADESH__ANANTAPUR,Andhra Pradesh,Anantapur,P. RANGAIAH,IND,3588.0,0.2673011965974971,8.0,False,,IND,IND,IND,P. RANGAIAH,P. RANGAIAH,CAND_2019_ANDHRA_PRADESH_ANANTAPUR_IND_P_RANGAIAH
2019,lok_sabha,ANDHRA_PRADESH__ANANTAPUR,Andhra Pradesh,Anantapur,SOMANATH DESHMUKH,IND,3237.0,0.241152166495568,9.0,False,,IND,IND,IND,SOMANATH DESHMUKH,SOMANATH DESHMUKH,CAND_2019_ANDHRA_PRADESH_ANANTAPUR_IND_SOMANATH_DESHMUKH
2019,lok_sabha,ANDHRA_PRADESH__ANANTAPUR,Andhra Pradesh,Anantapur,VADDE KASINATH,IND,2066.0,0.1539142341612121,10.0,False,,IND,IND,IND,VADDE KASINATH,VADDE KASINATH,CAND_2019_ANDHRA_PRADESH_ANANTAPUR_IND_VADDE_KASINATH
2019,lok_sabha,ANDHRA_PRADESH__ANANTAPUR,Andhra Pradesh,Anantapur,L. RANGAIAH,IND,1691.0,0.1259772361890657,11.0,False,,IND,IND,IND,L. RANGAIAH,L. RANGAIAH,CAND_2019_ANDHRA_PRADESH_ANANTAPUR_IND_L_RANGAIAH
2019,lok_sabha,ANDHRA_PRADESH__ANANTAPUR,Andhra Pradesh,Anantapur,P.RADHA KRISHNA,RD,1220.0,0.0908883667360497,12.0,False,,RD,RD,RD,P.RADHA KRISHNA,P.RADHA KRISHNA,CAND_2019_ANDHRA_PRADESH_ANANTAPUR_RD_P_RADHA_KRISHNA
2019,lok_sabha,ANDHRA_PRADESH__ANANTAPUR,Andhra Pradesh,Anantapur,M.VENKATESULU,PPOI,1048.0,0.0780745969994919,13.0,False,,PPOI,PPOI,PPOI,M.VENKATESULU,M.VENKATESULU,CAND_2019_ANDHRA_PRADESH_ANANTAPUR_PPOI_M_VENKATESULU
2019,lok_sabha,ANDHRA_PRADESH__ANANTAPUR,Andhra Pradesh,Anantapur,G. LALITHA,SUCI(C),899.0,0.0669742964718924,14.0,False,,SUCI(C),SUCI(C),SUCI(C),G. LALITHA,G. LALITHA,CAND_2019_ANDHRA_PRADESH_ANANTAPUR_SUCIC_G_LALITHA
