election_year,election_type,state,constituency,candidate,party,votes,vote_share,rank,winner,margin_votes
2024,lok_sabha,Andhra Pradesh,Araku,MANDALA GIRIDHARA RAO,IND,4967.0,0.4265551400023186,12.0,False,
2024,lok_sabha,Andhra Pradesh,Araku,RAMBABU JALLI,TLRDSMTP,4959.0,0.4258681174293333,13.0,False,
2024,lok_sabha,Andhra Pradesh,Araku,VUYAKA NIREEKSHAN (V. CHENCHU),IPBP,4542.0,0.3900570658124686,14.0,False,
2024,lok_sabha,Andhra Pradesh,Bapatla,KRISHNA PRASAD TENNETI,TDP,717493.0,55.16015821702178,1.0,True,208031.0
2024,lok_sabha,Andhra Pradesh,Bapatla,NANDIGAM SURESH BABU,YSRCP,509462.0,39.1669389465268,2.0,False,
2024,lok_sabha,Andhra Pradesh,Bapatla,J.D. SEELAM,INC,43259.0,3.325709497249653,3.0,False,
2024,lok_sabha,Andhra Pradesh,Bapatla,NOTA,NOTA,13723.0,1.0550107822824613,4.0,False,
2024,lok_sabha,Andhra Pradesh,Bapatla,DOKKA JAGAN MOHANA RAO,BSP,6857.0,0.52715943555424,5.0,False,
2024,lok_sabha,Andhra Pradesh,Bapatla,NALAMALA TIRUPATI RAO,NavaP,2964.0,0.2278694132977639,6.0,False,
2024,lok_sabha,Andhra Pradesh,Bapatla,BUSSA. NAGARAJU,IND,1318.0,0.1013265474785603,7.0,False,
2024,lok_sabha,Andhra Pradesh,Bapatla,GADDE. VIJAYA LAKSHMI,IND,1051.0,0.0807998493171221,8.0,False,
2024,lok_sabha,Andhra Pradesh,Bapatla,KATTAPOGU. VIJAY KUMAR,PPOI,897.0,0.0689604803401127,9.0,False,
2024,lok_sabha,Andhra Pradesh,Bapatla,KONDRU KIRAN KUMAR,IND,797.0,0.0612725784069898,10.0,False,
2024,lok_sabha,Andhra Pradesh,Bapatla,KATTA ANAND BABU,IND,729.0,0.0560448050924662,11.0,False,
2024,lok_sabha,Andhra Pradesh,Bapatla,MERUGUPALA SADASIVA RAO,IPBP,673.0,0.0517395800099173,12.0,False,
2024,lok_sabha,Andhra Pradesh,Bapatla,KATTA HEMANAND,IND,549.0,0.0422065816128449,13.0,False,
2024,lok_sabha,Andhra Pradesh,Bapatla,PARRE. KOTAIAH,JRBP,412.0,0.0316741559644665,14.0,False,
2024,lok_sabha,Andhra Pradesh,Bapatla,PALADUG VIJENDRA RAO (BAHUJAN),LBCP,306.0,0.0235249799153562,15.0,False,
2024,lok_sabha,Andhra Pradesh,Bapatla,CHINNAM MURALIDHAR,AlPP,255.0,0.0196041499294635,16.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,DAGGUMALLA PRASADA RAO,TDP,778071.0,54.83787302032551,1.0,True,220479.0
2024,lok_sabha,Andhra Pradesh,Chittoor,REDDEPPA.N .,YSRCP,557592.0,39.29867491931886,2.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,MOTUKUR JAGAPATHI,INC,30150.0,2.1249498716220168,3.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,THOGURU VIJAYA KUMAR,BSP,13511.0,0.9522453636976806,4.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,NOTA,NOTA,11976.0,0.8440596903000092,5.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,YUGANDAR . KONDA,IND,6973.0,0.4914519222162627,6.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,K.MUNI KRISHNA,IND,3956.0,0.2788159765219469,7.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,P.JANAKI RAMA RAO ( BABU),NMSP,2833.0,0.1996677607398067,8.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,PETA.MOHAN .,IND,2366.0,0.166753943491134,9.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,C.SUDHAKAR,IND,1935.0,0.1363773798205175,10.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,N.CHANDRABABU,IND,1885.0,0.1328534165176617,11.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,MADASI SUDHARSHAN,IND,1578.0,0.1112162818381274,12.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,D.MAHESH,IND,1119.0,0.0788662987179116,13.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,P.MADHU,IND,906.0,0.0638542150477461,14.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,N.BHUPATHI,IND,894.0,0.0630084638550608,15.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,A. PURNA CHANDRA,IND,857.0,0.0604007310109475,16.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,PALLIPATTU.ABHINAV VISHNU,SP,676.0,0.0476439838546097,17.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,N.GANGAIAH .,IND,552.0,0.0389045548635274,18.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,T NARESH,IND,534.0,0.0376359280744994,19.0,False,
2024,lok_sabha,Andhra Pradesh,Chittoor,BANDAPALLI RAMESH,IND,493.0,0.0347462781661576,20.0,False,
2024,lok_sabha,Andhra Pradesh,Eluru,PUTTA MAHESH KUMAR,TDP,746351.0,54.00322275114703,1.0,True,181857.0
2024,lok_sabha,Andhra Pradesh,Eluru,KARUMURI SUNIL KUMAR,YSRCP,564494.0,40.844716793688214,2.0,False,
2024,lok_sabha,Andhra Pradesh,Eluru,NOTA,NOTA,22515.0,1.6291028755130967,3.0,False,
2024,lok_sabha,Andhra Pradesh,Eluru,KAVURI LAVANYA,INC,20826.0,1.5068930262241065,4.0,False,
2024,lok_sabha,Andhra Pradesh,Eluru,AJAY BABU BODA,NRCP,12210.0,0.883470846547409,5.0,False,
2024,lok_sabha,Andhra Pradesh,Eluru,NITTA AKHILA DHARANI PAL,BSP,6732.0,0.4871028451234362,6.0,False,
2024,lok_sabha,Andhra Pradesh,Eluru,BOKINALA KOTESWARA RAO,IND,2263.0,0.1637423854002282,7.0,False,
2024,lok_sabha,Andhra Pradesh,Eluru,RUDRAPAKA RATNA RAO (R.R.R),ARPS,1526.0,0.1104157667347539,8.0,False,
2024,lok_sabha,Andhra Pradesh,Eluru,KANDAVALLI JEEVA DEVA DAYAKAR,IND,1180.0,0.0853804749325096,9.0,False,
