party,candidate_count,party_type,alliance_2019,ideology,region
ABML(S),2,unknown,OTHER,unknown,unknown
PrStP,2,unknown,OTHER,unknown,unknown
BBM,2,unknown,OTHER,unknown,unknown
KPPR,2,unknown,OTHER,unknown,unknown
igp,2,unknown,OTHER,unknown,unknown
BTARP,2,unknown,OTHER,unknown,unknown
NATWOMP,2,unknown,OTHER,unknown,unknown
RPIR,2,unknown,OTHER,unknown,unknown
RsAD,2,unknown,OTHER,unknown,unknown
PHRC,2,unknown,OTHER,unknown,unknown
RJanPty,2,unknown,OTHER,unknown,unknown
ARP,2,unknown,OTHER,unknown,unknown
ALoP,2,unknown,OTHER,unknown,unknown
MSHP,2,unknown,OTHER,unknown,unknown
SWP,2,unknown,OTHER,unknown,unknown
ABMP,2,unknown,OTHER,unknown,unknown
HAPa,2,unknown,OTHER,unknown,unknown
NEINDP,2,unknown,OTHER,unknown,unknown
UtPP,2,unknown,OTHER,unknown,unknown
CHALP,2,unknown,OTHER,unknown,unknown
ATBP,2,unknown,OTHER,unknown,unknown
RAJADP,2,unknown,OTHER,unknown,unknown
NYP,2,unknown,OTHER,unknown,unknown
SAD(M),2,unknown,OTHER,unknown,unknown
IDRP,2,unknown,OTHER,unknown,unknown
BRKP(D),2,unknown,OTHER,unknown,unknown
IPGP,2,unknown,OTHER,unknown,unknown
MKat,2,unknown,OTHER,unknown,unknown
AMPK,2,unknown,OTHER,unknown,unknown
DUUK,2,unknown,OTHER,unknown,unknown
APEP,2,unknown,OTHER,unknown,unknown
NIDP,2,unknown,OTHER,unknown,unknown
NIP,2,unknown,OTHER,unknown,unknown
IPFT,2,unknown,OTHER,unknown,unknown
ADRSP,2,unknown,OTHER,unknown,unknown
SABJANP,2,unknown,OTHER,unknown,unknown
BHABHAPA,2,unknown,OTHER,unknown,unknown
MwSP,2,unknown,OTHER,unknown,unknown
JaSD,2,unknown,OTHER,unknown,unknown
svjn,2,unknown,OTHER,unknown,unknown
SACP,2,unknown,OTHER,unknown,unknown
RJAPU,2,unknown,OTHER,unknown,unknown
JANKRPR,2,unknown,OTHER,unknown,unknown
JRPa,2,unknown,OTHER,unknown,unknown
SDSP,2,unknown,OTHER,unknown,unknown
AKSP,2,unknown,OTHER,unknown,unknown
RAPI,2,unknown,OTHER,unknown,unknown
JSP,2,unknown,OTHER,unknown,unknown
ALHP,2,unknown,OTHER,unknown,unknown
MSJP,2,unknown,OTHER,unknown,unknown
JHBHP,2,unknown,OTHER,unknown,unknown
VIPty,2,unknown,OTHER,unknown,unknown
RBJJP,2,unknown,OTHER,unknown,unknown
NJANP,2,unknown,OTHER,unknown,unknown
SFP,2,unknown,OTHER,unknown,unknown
JDL,2,unknown,OTHER,unknown,unknown
INL,2,unknown,OTHER,unknown,unknown
MARD,2,unknown,OTHER,unknown,unknown
JaSSP,2,unknown,OTHER,unknown,unknown
ADAL,2,unknown,OTHER,unknown,unknown
BhBSP,2,unknown,OTHER,unknown,unknown
RSMD,2,unknown,OTHER,unknown,unknown
BHHF,2,unknown,OTHER,unknown,unknown
JeSM,2,unknown,OTHER,unknown,unknown
WPOI,2,unknown,OTHER,unknown,unknown
MPOI,2,unknown,OTHER,unknown,unknown
BHMP,2,unknown,OTHER,unknown,unknown
IUC,2,unknown,OTHER,unknown,unknown
RD,1,unknown,OTHER,unknown,unknown
AlPP,1,unknown,OTHER,unknown,unknown
NDDHP,1,unknown,OTHER,unknown,unknown
HMRD,1,unknown,OTHER,unknown,unknown
RDHP,1,unknown,OTHER,unknown,unknown
RRS,1,unknown,OTHER,unknown,unknown
BCUF,1,unknown,OTHER,unknown,unknown
NNKP,1,unknown,OTHER,unknown,unknown
NVSP,1,unknown,OTHER,unknown,unknown
RPC(S),1,unknown,OTHER,unknown,unknown
NavaP,1,unknown,OTHER,unknown,unknown
ARPS,1,unknown,OTHER,unknown,unknown
JPD,1,unknown,OTHER,unknown,unknown
SAPRP,1,unknown,OTHER,unknown,unknown
ACP,1,unknown,OTHER,unknown,unknown
ASDC,1,unknown,OTHER,unknown,unknown
BOPF,1,unknown,OTHER,unknown,unknown
UPPL,1,regional,NDA,tribal_regional,assam
ADRP,1,unknown,OTHER,unknown,unknown
BKVP,1,unknown,OTHER,unknown,unknown
RDU,1,unknown,OTHER,unknown,unknown
mimm,1,unknown,OTHER,unknown,unknown
BBMP,1,unknown,OTHER,unknown,unknown
ravp,1,unknown,OTHER,unknown,unknown
SJDD,1,unknown,OTHER,unknown,unknown
RSWD,1,unknown,OTHER,unknown,unknown
JAPL,1,unknown,OTHER,unknown,unknown
AKBMP,1,unknown,OTHER,unknown,unknown
BNSKP,1,unknown,OTHER,unknown,unknown
BhNP,1,unknown,OTHER,unknown,unknown
AAHPty,1,unknown,OTHER,unknown,unknown
NJP,1,unknown,OTHER,unknown,unknown
BIP,1,unknown,OTHER,unknown,unknown
LAJSP,1,unknown,OTHER,unknown,unknown
BhAmAP,1,unknown,OTHER,unknown,unknown
APKSP,1,unknown,OTHER,unknown,unknown
RACHEP,1,unknown,OTHER,unknown,unknown
RJPD,1,unknown,OTHER,unknown,unknown
WAP,1,unknown,OTHER,unknown,unknown
RSTSAHP,1,unknown,OTHER,unknown,unknown
SWSP,1,unknown,OTHER,unknown,unknown
JHP,1,unknown,OTHER,unknown,unknown
LSD,1,unknown,OTHER,unknown,unknown
JRVP,1,unknown,OTHER,unknown,unknown
RPP,1,unknown,OTHER,unknown,unknown
LCD,1,unknown,OTHER,unknown,unknown
CHKAP,1,unknown,OTHER,unknown,unknown
BhaRP,1,unknown,OTHER,unknown,unknown
ABSKP,1,unknown,OTHER,unknown,unknown
BSHSP,1,unknown,OTHER,unknown,unknown
SUSP,1,unknown,OTHER,unknown,unknown
RGOP,1,unknown,OTHER,unknown,unknown
SSBD,1,unknown,OTHER,unknown,unknown
BHBP,1,unknown,OTHER,unknown,unknown
FDLP,1,unknown,OTHER,unknown,unknown
RP(K),1,unknown,OTHER,unknown,unknown
NSBHP,1,unknown,OTHER,unknown,unknown
RPI(KM),1,unknown,OTHER,unknown,unknown
NIRBHP,1,unknown,OTHER,unknown,unknown
PAP,1,unknown,OTHER,unknown,unknown
LoRP,1,unknown,OTHER,unknown,unknown
BSDL,1,unknown,OTHER,unknown,unknown
BRP,1,unknown,OTHER,unknown,unknown
RNNBP,1,unknown,OTHER,unknown,unknown
GJPP,1,unknown,OTHER,unknown,unknown
RVZP,1,unknown,OTHER,unknown,unknown
REALDP,1,unknown,OTHER,unknown,unknown
ABD,1,unknown,OTHER,unknown,unknown
LPSP,1,unknown,OTHER,unknown,unknown
RVP,1,unknown,OTHER,unknown,unknown
RPIE,1,unknown,OTHER,unknown,unknown
ToP,1,unknown,OTHER,unknown,unknown
DKSP,1,unknown,OTHER,unknown,unknown
RABSP,1,unknown,OTHER,unknown,unknown
AJNSP,1,unknown,OTHER,unknown,unknown
NNMP,1,unknown,OTHER,unknown,unknown
MYSP,1,unknown,OTHER,unknown,unknown
RJAVP,1,unknown,OTHER,unknown,unknown
NED,1,unknown,OTHER,unknown,unknown
HIMJKP,1,unknown,OTHER,unknown,unknown
INDPP,1,unknown,OTHER,unknown,unknown
JKPPAP,1,unknown,OTHER,unknown,unknown
AJSUP,1,regional,NDA,tribal_regional,jharkhand
UPNSE,1,unknown,OTHER,unknown,unknown
JKPS,1,unknown,OTHER,unknown,unknown
BHAZS,1,unknown,OTHER,unknown,unknown
RTSGP,1,unknown,OTHER,unknown,unknown
JMM(U),1,unknown,OTHER,unknown,unknown
RTBHP,1,unknown,OTHER,unknown,unknown
KPJP,1,unknown,OTHER,unknown,unknown
JVBP,1,unknown,OTHER,unknown,unknown
GaAP,1,unknown,OTHER,unknown,unknown
KCVP,1,unknown,OTHER,unknown,unknown
DPPS,1,unknown,OTHER,unknown,unknown
NDEP,1,unknown,OTHER,unknown,unknown
SAJP,1,unknown,OTHER,unknown,unknown
AMKP,1,unknown,OTHER,unknown,unknown
BHPP,1,unknown,OTHER,unknown,unknown
EP,1,unknown,OTHER,unknown,unknown
KEC(M),1,unknown,OTHER,unknown,unknown
KEC,1,unknown,OTHER,unknown,unknown
PNP,1,unknown,OTHER,unknown,unknown
NALAP,1,unknown,OTHER,unknown,unknown
SaVP,1,unknown,OTHER,unknown,unknown
swbi,1,unknown,OTHER,unknown,unknown
JLokP,1,unknown,OTHER,unknown,unknown
RAPty,1,unknown,OTHER,unknown,unknown
ANSP,1,unknown,OTHER,unknown,unknown
BJSPP,1,unknown,OTHER,unknown,unknown
RTAMP,1,unknown,OTHER,unknown,unknown
AIUC,1,unknown,OTHER,unknown,unknown
SamSP,1,unknown,OTHER,unknown,unknown
KSRP,1,unknown,OTHER,unknown,unknown
SJPT,1,unknown,OTHER,unknown,unknown
BHJMP,1,unknown,OTHER,unknown,unknown
SADSP,1,unknown,OTHER,unknown,unknown
ANRP,1,unknown,OTHER,unknown,unknown
PRSP,1,unknown,OTHER,unknown,unknown
NNP,1,unknown,OTHER,unknown,unknown
MAHKRS,1,unknown,OTHER,unknown,unknown
LKSGM,1,unknown,OTHER,unknown,unknown
RJnPty,1,unknown,OTHER,unknown,unknown
AKHP,1,unknown,OTHER,unknown,unknown
ABHS,1,unknown,OTHER,unknown,unknown
HiPPa,1,unknown,OTHER,unknown,unknown
ABEP,1,unknown,OTHER,unknown,unknown
RAKRD,1,unknown,OTHER,unknown,unknown
ABSSP,1,unknown,OTHER,unknown,unknown
DJHP,1,unknown,OTHER,unknown,unknown
BEPP,1,unknown,OTHER,unknown,unknown
BVA,1,unknown,OTHER,unknown,unknown
SanS,1,unknown,OTHER,unknown,unknown
PUNP,1,unknown,OTHER,unknown,unknown
RAJSPty,1,unknown,OTHER,unknown,unknown
RBS,1,unknown,OTHER,unknown,unknown
LJGP,1,unknown,OTHER,unknown,unknown
PHJSP,1,unknown,OTHER,unknown,unknown
SaRaPa,1,unknown,OTHER,unknown,unknown
RBCP,1,unknown,OTHER,unknown,unknown
MPEP,1,unknown,OTHER,unknown,unknown
MDPF,1,unknown,OTHER,unknown,unknown
RJSNP,1,unknown,OTHER,unknown,unknown
NPF,1,unknown,OTHER,unknown,unknown
UDP,1,unknown,OTHER,unknown,unknown
MNF,1,unknown,OTHER,unknown,unknown
PRISMP,1,unknown,OTHER,unknown,unknown
ESP,1,unknown,OTHER,unknown,unknown
NAPt,1,unknown,OTHER,unknown,unknown
AnAP,1,unknown,OTHER,unknown,unknown
CoAP,1,unknown,OTHER,unknown,unknown
SPRP,1,unknown,OTHER,unknown,unknown
bjdi,1,unknown,OTHER,unknown,unknown
SJVP,1,unknown,OTHER,unknown,unknown
SoJP,1,unknown,OTHER,unknown,unknown
BPC,1,unknown,OTHER,unknown,unknown
NDPP,1,unknown,OTHER,unknown,unknown
OPD,1,unknown,OTHER,unknown,unknown
skd,1,unknown,OTHER,unknown,unknown
RAIM,1,unknown,OTHER,unknown,unknown
AINRC,1,unknown,OTHER,unknown,unknown
PUDEP,1,unknown,OTHER,unknown,unknown
SADT,1,unknown,OTHER,unknown,unknown
PLP,1,unknown,OTHER,unknown,unknown
ASJP,1,unknown,OTHER,unknown,unknown
DPI,1,unknown,OTHER,unknown,unknown
SBM,1,unknown,OTHER,unknown,unknown
SLDP,1,unknown,OTHER,unknown,unknown
HSP,1,unknown,OTHER,unknown,unknown
NAWPP,1,unknown,OTHER,unknown,unknown
NPSF,1,unknown,OTHER,unknown,unknown
RSVP,1,unknown,OTHER,unknown,unknown
RMGLMP,1,unknown,OTHER,unknown,unknown
RLTP,1,unknown,OTHER,unknown,unknown
IICR,1,unknown,OTHER,unknown,unknown
BJSTP,1,unknown,OTHER,unknown,unknown
SKM,1,unknown,OTHER,unknown,unknown
SDF,1,unknown,OTHER,unknown,unknown
HMSKP,1,unknown,OTHER,unknown,unknown
SKPP,1,unknown,OTHER,unknown,unknown
SUTF,1,unknown,OTHER,unknown,unknown
AIP,1,unknown,OTHER,unknown,unknown
AIMAK,1,unknown,OTHER,unknown,unknown
AIVP,1,unknown,OTHER,unknown,unknown
IMK,1,unknown,OTHER,unknown,unknown
VMMKT,1,unknown,OTHER,unknown,unknown
FIP,1,unknown,OTHER,unknown,unknown
DCLF,1,unknown,OTHER,unknown,unknown
MSKK,1,unknown,OTHER,unknown,unknown
AHIMSASP,1,unknown,OTHER,unknown,unknown
MMKA,1,unknown,OTHER,unknown,unknown
TMC(M),1,unknown,OTHER,unknown,unknown
TTNP,1,unknown,OTHER,unknown,unknown
UBM,1,unknown,OTHER,unknown,unknown
CDF,1,unknown,OTHER,unknown,unknown
USIP,1,unknown,OTHER,unknown,unknown
AIUUK,1,unknown,OTHER,unknown,unknown
DAMK,1,unknown,OTHER,unknown,unknown
MLJK,1,unknown,OTHER,unknown,unknown
AIPTMMK,1,unknown,OTHER,unknown,unknown
AIDMMK,1,unknown,OTHER,unknown,unknown
NPRP,1,unknown,OTHER,unknown,unknown
PJSP,1,unknown,OTHER,unknown,unknown
pjdl,1,unknown,OTHER,unknown,unknown
JASWP,1,unknown,OTHER,unknown,unknown
TELYS,1,unknown,OTHER,unknown,unknown
TECPI,1,unknown,OTHER,unknown,unknown
