filename,geo_code,state,survey,survey_version_code,dataset_type_code,dataset_type,file_format_code,file_format,inner_data_files,size_mb,download_status,parse_ok,parse_note,path
MHIR42SD.zip,MH,Maharashtra,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SD,SAS,MHIR42FL.SAS7BDAT,3.24,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MHIR42SD.zip
MHIR42SV.zip,MH,Maharashtra,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SV,SPSS,MHIR42FL.SAV,2.11,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MHIR42SV.zip
MNHR42DT.zip,MN,Manipur,NFHS-4 (2015-16),42,HR,Household Recode,DT,Stata,MNHR42FL.DTA,0.6,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MNHR42DT.zip
MNHR42FL.zip,MN,Manipur,NFHS-4 (2015-16),42,HR,Household Recode,FL,Flat (ASCII/Stata .dta),MNHR42FL.DAT,2.25,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MNHR42FL.zip
MNHR42SD.zip,MN,Manipur,NFHS-4 (2015-16),42,HR,Household Recode,SD,SAS,MNHR42FL.SAS7BDAT,0.76,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MNHR42SD.zip
MNHR42SV.zip,MN,Manipur,NFHS-4 (2015-16),42,HR,Household Recode,SV,SPSS,MNHR42FL.SAV,0.61,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MNHR42SV.zip
MNIR42.zip,,,,,,,,,MNIR42.DAT,3.3,complete,False,Does not match DHS pattern [CC][DD][VV][FF]: MNIR42,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MNIR42.zip
MNIR42DT.zip,MN,Manipur,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,DT,Stata,MNIR42FL.DTA,0.88,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MNIR42DT.zip
MNIR42FL.zip,MN,Manipur,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,FL,Flat (ASCII/Stata .dta),MNIR42FL.DAT,2.6,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MNIR42FL.zip
MNIR42SD.zip,MN,Manipur,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SD,SAS,MNIR42FL.SAS7BDAT,1.28,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MNIR42SD.zip
MNIR42SV.zip,MN,Manipur,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SV,SPSS,MNIR42FL.SAV,0.92,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MNIR42SV.zip
MPHR42DT.zip,MP,Madhya Pradesh,NFHS-4 (2015-16),42,HR,Household Recode,DT,Stata,MPHR42FL.DTA,1.16,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MPHR42DT.zip
MPHR42FL.zip,MP,Madhya Pradesh,NFHS-4 (2015-16),42,HR,Household Recode,FL,Flat (ASCII/Stata .dta),MPHR42FL.DAT,2.79,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MPHR42FL.zip
MPHR42SD.zip,MP,Madhya Pradesh,NFHS-4 (2015-16),42,HR,Household Recode,SD,SAS,MPHR42FL.SAS7BDAT,1.7,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MPHR42SD.zip
MPHR42SV.zip,MP,Madhya Pradesh,NFHS-4 (2015-16),42,HR,Household Recode,SV,SPSS,MPHR42FL.SAV,1.24,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MPHR42SV.zip
MPIR42.zip,,,,,,,,,MPIR42.DAT,6.22,complete,False,Does not match DHS pattern [CC][DD][VV][FF]: MPIR42,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MPIR42.zip
MPIR42DT.zip,MP,Madhya Pradesh,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,DT,Stata,MPIR42FL.DTA,2.44,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MPIR42DT.zip
MPIR42FL.zip,MP,Madhya Pradesh,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,FL,Flat (ASCII/Stata .dta),MPIR42FL.DAT,4.2,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MPIR42FL.zip
MPIR42SD.zip,MP,Madhya Pradesh,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SD,SAS,MPIR42FL.SAS7BDAT,4.12,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MPIR42SD.zip
MPIR42SV.zip,MP,Madhya Pradesh,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SV,SPSS,MPIR42FL.SAV,2.61,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MPIR42SV.zip
MZHR42DT.zip,MZ,Mizoram,NFHS-4 (2015-16),42,HR,Household Recode,DT,Stata,MZHR42FL.DTA,0.57,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MZHR42DT.zip
MZHR42FL.zip,MZ,Mizoram,NFHS-4 (2015-16),42,HR,Household Recode,FL,Flat (ASCII/Stata .dta),MZHR42FL.DAT,2.21,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MZHR42FL.zip
MZHR42SD.zip,MZ,Mizoram,NFHS-4 (2015-16),42,HR,Household Recode,SD,SAS,MZHR42FL.SAS7BDAT,0.7,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MZHR42SD.zip
MZHR42SV.zip,MZ,Mizoram,NFHS-4 (2015-16),42,HR,Household Recode,SV,SPSS,MZHR42FL.SAV,0.58,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MZHR42SV.zip
MZIR42.zip,,,,,,,,,MZIR42.DAT,3.05,complete,False,Does not match DHS pattern [CC][DD][VV][FF]: MZIR42,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MZIR42.zip
MZIR42DT.zip,MZ,Mizoram,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,DT,Stata,MZIR42FL.DTA,0.76,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MZIR42DT.zip
MZIR42FL.zip,MZ,Mizoram,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,FL,Flat (ASCII/Stata .dta),MZIR42FL.DAT,2.47,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MZIR42FL.zip
MZIR42SD.zip,MZ,Mizoram,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SD,SAS,MZIR42FL.SAS7BDAT,1.06,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MZIR42SD.zip
MZIR42SV.zip,MZ,Mizoram,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SV,SPSS,MZIR42FL.SAV,0.79,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MZIR42SV.zip
NAHR42DT.zip,NA,Nagaland,NFHS-4 (2015-16),42,HR,Household Recode,DT,Stata,NAHR42FL.DTA,0.53,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/NAHR42DT.zip
NAHR42FL.zip,NA,Nagaland,NFHS-4 (2015-16),42,HR,Household Recode,FL,Flat (ASCII/Stata .dta),NAHR42FL.DAT,2.17,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/NAHR42FL.zip
NAHR42SD.zip,NA,Nagaland,NFHS-4 (2015-16),42,HR,Household Recode,SD,SAS,NAHR42FL.SAS7BDAT,0.64,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/NAHR42SD.zip
NAHR42SV.zip,NA,Nagaland,NFHS-4 (2015-16),42,HR,Household Recode,SV,SPSS,NAHR42FL.SAV,0.54,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/NAHR42SV.zip
NAIR42.zip,,,,,,,,,NAIR42.DAT,2.87,complete,False,Does not match DHS pattern [CC][DD][VV][FF]: NAIR42,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/NAIR42.zip
NAIR42DT.zip,NA,Nagaland,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,DT,Stata,NAIR42FL.DTA,0.69,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/NAIR42DT.zip
NAIR42FL.zip,NA,Nagaland,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,FL,Flat (ASCII/Stata .dta),NAIR42FL.DAT,2.39,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/NAIR42FL.zip
NAIR42SD.zip,NA,Nagaland,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SD,SAS,NAIR42FL.SAS7BDAT,0.94,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/NAIR42SD.zip
NAIR42SV.zip,NA,Nagaland,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SV,SPSS,NAIR42FL.SAV,0.71,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/NAIR42SV.zip
ORHR42DT.zip,OR,Odisha,NFHS-4 (2015-16),42,HR,Household Recode,DT,Stata,ORHR42FL.DTA,0.9,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/ORHR42DT.zip
ORHR42FL.zip,OR,Odisha,NFHS-4 (2015-16),42,HR,Household Recode,FL,Flat (ASCII/Stata .dta),ORHR42FL.DAT,2.49,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/ORHR42FL.zip
ORHR42SD.zip,OR,Odisha,NFHS-4 (2015-16),42,HR,Household Recode,SD,SAS,ORHR42FL.SAS7BDAT,1.26,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/ORHR42SD.zip
ORHR42SV.zip,OR,Odisha,NFHS-4 (2015-16),42,HR,Household Recode,SV,SPSS,ORHR42FL.SAV,0.95,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/ORHR42SV.zip
ORIR42.zip,,,,,,,,,ORIR42.DAT,4.77,complete,False,Does not match DHS pattern [CC][DD][VV][FF]: ORIR42,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/ORIR42.zip
ORIR42DT.zip,OR,Odisha,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,DT,Stata,ORIR42FL.DTA,1.65,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/ORIR42DT.zip
ORIR42FL.zip,OR,Odisha,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,FL,Flat (ASCII/Stata .dta),ORIR42FL.DAT,3.37,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/ORIR42FL.zip
ORIR42SD.zip,OR,Odisha,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SD,SAS,ORIR42FL.SAS7BDAT,2.74,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/ORIR42SD.zip
ORIR42SV.zip,OR,Odisha,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SV,SPSS,ORIR42FL.SAV,1.77,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/ORIR42SV.zip
PJHR42DT.zip,PJ,Punjab,NFHS-4 (2015-16),42,HR,Household Recode,DT,Stata,PJHR42FL.DTA,0.72,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/PJHR42DT.zip
PJHR42FL.zip,PJ,Punjab,NFHS-4 (2015-16),42,HR,Household Recode,FL,Flat (ASCII/Stata .dta),PJHR42FL.DAT,2.29,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/PJHR42FL.zip
PJHR42SD.zip,PJ,Punjab,NFHS-4 (2015-16),42,HR,Household Recode,SD,SAS,PJHR42FL.SAS7BDAT,0.96,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/PJHR42SD.zip
PJHR42SV.zip,PJ,Punjab,NFHS-4 (2015-16),42,HR,Household Recode,SV,SPSS,PJHR42FL.SAV,0.75,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/PJHR42SV.zip
PJIR42.zip,,,,,,,,,PJIR42.DAT,3.85,complete,False,Does not match DHS pattern [CC][DD][VV][FF]: PJIR42,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/PJIR42.zip
PJIR42DT.zip,PJ,Punjab,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,DT,Stata,PJIR42FL.DTA,1.18,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/PJIR42DT.zip
