state,constituency,state_key,constituency_key,variable,value,unit,source_name,source_url_or_document,source_year,geography_level,method,confidence,notes,entered_by,last_updated
Uttar Pradesh,Barabanki,UTTAR PRADESH,BARABANKI,urban_pct,,percent,,,,,,,,,
Uttar Pradesh,Barabanki,UTTAR PRADESH,BARABANKI,literacy_rate,,percent,,,,,,,,,
Uttar Pradesh,Barabanki,UTTAR PRADESH,BARABANKI,sc_pct,,percent,,,,,,,,,
Uttar Pradesh,Barabanki,UTTAR PRADESH,BARABANKI,st_pct,,percent,,,,,,,,,
Uttar Pradesh,Barabanki,UTTAR PRADESH,BARABANKI,religion_hindu_pct,,percent,,,,,,,,,
Uttar Pradesh,Barabanki,UTTAR PRADESH,BARABANKI,religion_muslim_pct,,percent,,,,,,,,,
Uttar Pradesh,Barabanki,UTTAR PRADESH,BARABANKI,population_density,,persons_per_sq_km,,,,,,,,,
Uttar Pradesh,Barabanki,UTTAR PRADESH,BARABANKI,sex_ratio,,females_per_1000_males,,,,,,,,,
Maharashtra,Jalna,MAHARASHTRA,JALNA,urban_pct,,percent,,,,,,,,,
Maharashtra,Jalna,MAHARASHTRA,JALNA,literacy_rate,,percent,,,,,,,,,
Maharashtra,Jalna,MAHARASHTRA,JALNA,sc_pct,,percent,,,,,,,,,
Maharashtra,Jalna,MAHARASHTRA,JALNA,st_pct,,percent,,,,,,,,,
Maharashtra,Jalna,MAHARASHTRA,JALNA,religion_hindu_pct,,percent,,,,,,,,,
Maharashtra,Jalna,MAHARASHTRA,JALNA,religion_muslim_pct,,percent,,,,,,,,,
Maharashtra,Jalna,MAHARASHTRA,JALNA,population_density,,persons_per_sq_km,,,,,,,,,
Maharashtra,Jalna,MAHARASHTRA,JALNA,sex_ratio,,females_per_1000_males,,,,,,,,,
Odisha,Jajpur,ODISHA,JAJPUR,urban_pct,,percent,,,,,,,,,
Odisha,Jajpur,ODISHA,JAJPUR,literacy_rate,,percent,,,,,,,,,
Odisha,Jajpur,ODISHA,JAJPUR,sc_pct,,percent,,,,,,,,,
Odisha,Jajpur,ODISHA,JAJPUR,st_pct,,percent,,,,,,,,,
Odisha,Jajpur,ODISHA,JAJPUR,religion_hindu_pct,,percent,,,,,,,,,
Odisha,Jajpur,ODISHA,JAJPUR,religion_muslim_pct,,percent,,,,,,,,,
Odisha,Jajpur,ODISHA,JAJPUR,population_density,,persons_per_sq_km,,,,,,,,,
Odisha,Jajpur,ODISHA,JAJPUR,sex_ratio,,females_per_1000_males,,,,,,,,,
Maharashtra,Kolhapur,MAHARASHTRA,KOLHAPUR,urban_pct,,percent,,,,,,,,,
Maharashtra,Kolhapur,MAHARASHTRA,KOLHAPUR,literacy_rate,,percent,,,,,,,,,
Maharashtra,Kolhapur,MAHARASHTRA,KOLHAPUR,sc_pct,,percent,,,,,,,,,
Maharashtra,Kolhapur,MAHARASHTRA,KOLHAPUR,st_pct,,percent,,,,,,,,,
Maharashtra,Kolhapur,MAHARASHTRA,KOLHAPUR,religion_hindu_pct,,percent,,,,,,,,,
Maharashtra,Kolhapur,MAHARASHTRA,KOLHAPUR,religion_muslim_pct,,percent,,,,,,,,,
Maharashtra,Kolhapur,MAHARASHTRA,KOLHAPUR,population_density,,persons_per_sq_km,,,,,,,,,
Maharashtra,Kolhapur,MAHARASHTRA,KOLHAPUR,sex_ratio,,females_per_1000_males,,,,,,,,,
Maharashtra,Ratnagiri- Sindhudurg,MAHARASHTRA,RATNAGIRI SINDHUDURG,urban_pct,,percent,,,,,,,,,
Maharashtra,Ratnagiri- Sindhudurg,MAHARASHTRA,RATNAGIRI SINDHUDURG,literacy_rate,,percent,,,,,,,,,
Maharashtra,Ratnagiri- Sindhudurg,MAHARASHTRA,RATNAGIRI SINDHUDURG,sc_pct,,percent,,,,,,,,,
Maharashtra,Ratnagiri- Sindhudurg,MAHARASHTRA,RATNAGIRI SINDHUDURG,st_pct,,percent,,,,,,,,,
Maharashtra,Ratnagiri- Sindhudurg,MAHARASHTRA,RATNAGIRI SINDHUDURG,religion_hindu_pct,,percent,,,,,,,,,
Maharashtra,Ratnagiri- Sindhudurg,MAHARASHTRA,RATNAGIRI SINDHUDURG,religion_muslim_pct,,percent,,,,,,,,,
Maharashtra,Ratnagiri- Sindhudurg,MAHARASHTRA,RATNAGIRI SINDHUDURG,population_density,,persons_per_sq_km,,,,,,,,,
Maharashtra,Ratnagiri- Sindhudurg,MAHARASHTRA,RATNAGIRI SINDHUDURG,sex_ratio,,females_per_1000_males,,,,,,,,,
Andhra Pradesh,Thirupathi,ANDHRA PRADESH,THIRUPATHI,urban_pct,,percent,,,,,,,,,
Andhra Pradesh,Thirupathi,ANDHRA PRADESH,THIRUPATHI,literacy_rate,,percent,,,,,,,,,
Andhra Pradesh,Thirupathi,ANDHRA PRADESH,THIRUPATHI,sc_pct,,percent,,,,,,,,,
Andhra Pradesh,Thirupathi,ANDHRA PRADESH,THIRUPATHI,st_pct,,percent,,,,,,,,,
Andhra Pradesh,Thirupathi,ANDHRA PRADESH,THIRUPATHI,religion_hindu_pct,,percent,,,,,,,,,
Andhra Pradesh,Thirupathi,ANDHRA PRADESH,THIRUPATHI,religion_muslim_pct,,percent,,,,,,,,,
Andhra Pradesh,Thirupathi,ANDHRA PRADESH,THIRUPATHI,population_density,,persons_per_sq_km,,,,,,,,,
Andhra Pradesh,Thirupathi,ANDHRA PRADESH,THIRUPATHI,sex_ratio,,females_per_1000_males,,,,,,,,,
Rajasthan,NAGAUR,RAJASTHAN,NAGAUR,urban_pct,,percent,,,,,,,,,
Rajasthan,NAGAUR,RAJASTHAN,NAGAUR,literacy_rate,,percent,,,,,,,,,
Rajasthan,NAGAUR,RAJASTHAN,NAGAUR,sc_pct,,percent,,,,,,,,,
Rajasthan,NAGAUR,RAJASTHAN,NAGAUR,st_pct,,percent,,,,,,,,,
Rajasthan,NAGAUR,RAJASTHAN,NAGAUR,religion_hindu_pct,,percent,,,,,,,,,
Rajasthan,NAGAUR,RAJASTHAN,NAGAUR,religion_muslim_pct,,percent,,,,,,,,,
Rajasthan,NAGAUR,RAJASTHAN,NAGAUR,population_density,,persons_per_sq_km,,,,,,,,,
Rajasthan,NAGAUR,RAJASTHAN,NAGAUR,sex_ratio,,females_per_1000_males,,,,,,,,,
Maharashtra,Shirdi,MAHARASHTRA,SHIRDI,urban_pct,,percent,,,,,,,,,
Maharashtra,Shirdi,MAHARASHTRA,SHIRDI,literacy_rate,,percent,,,,,,,,,
Maharashtra,Shirdi,MAHARASHTRA,SHIRDI,sc_pct,,percent,,,,,,,,,
Maharashtra,Shirdi,MAHARASHTRA,SHIRDI,st_pct,,percent,,,,,,,,,
