year,poll_type,source_file,page,candidate_score,matched_group_types,matched_keywords,likely_table_type,page_text_excerpt,recommended_action
2024,pre_poll,pre-poll/2024/prepoll_report_2024.pdf,6,26,gender;age;religion;caste;issue_preference,age;caste;congress;corruption;hindu;inc;india;men;obc;others;st,voter_group_party_table,Social and Political Barometer Prepoll Study 2024-Survey Findings N (%) 99: Not aware of Ram mandir 291 2.9 Total 10019 100.0 Q10: Some people say that construction of Ram mandir will consolidate Hindu identity while others say Hindus are not much impacted by the construction of the temple. What is your opinion? N (%) 01: Help in consolidating Hindu identity 4758 47.5 02: Hindus are not much impac,auto_extract
2019,pre_poll,pre-poll/2019/prepoll_2019_results.pdf,26,25,gender;age;class;welfare_beneficiary;issue_preference,age;bjp;congress;inc;men;nda;poor;upa;welfare,voter_group_party_table,NES 2019 Prepoll-Survey findings.docx f: Welfare programmes for the poor N (%) 1: Increased 3168 31.7 2: Decreased 2994 29.9 3: Remained same 2484 24.8 8: No response 1364 13.6 Total 10010 100.0 g: Harmony between communities N (%) 1: Increased 2293 22.9 2: Decreased 2966 29.6 3: Remained same 2766 27.6 8: No response 1984 19.8 Total 10010 100.0 Q19: If we compare the present BJP-led NDA governmen,auto_extract
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,21,24,age;caste;electorate,age;all india;bjp;inc;india;party;st;upa;vote,post_poll_vote_choice_table,All India Postpoll NES 2019-Survey Findings N (%) 45: Arvind Kejriwal (Delhi) 40 .2 46: Pramod Sawant (Goa) 0 .0 47: Vijaybhai R Rupani (Gujarat) 6 .0 48: Manohar Lal Khattar (Haryana) 1 .0 52: Pinarayi Vijayan (Kerala) 4 .0 55: N Biren Singh (Manipur) 1 .0 56: Conrad Kongkal Sangma (Meghalaya) 0 .0 57: Zoramthanga (Mizoram) 2 .0 59: Naveen Patnaik (Odisha) 2 .0 60: V Narayanasamy (Puducherry) 2 .,auto_extract
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,96,24,gender;age;caste;rural_urban;electorate,adivasi;age;all india;city;india;men;nda;sc;st;town;village,voter_group_party_table,All India Postpoll NES 2019-Survey Findings N (%) 50: Munda 2 .0 51: Chhattisgarhi 1 .0 54: Awadhi 2 .0 55: Mahaswi 3 .0 57: Kulvi 2 .0 58: Sirmauri 1 .0 62: Pahari 0 .0 65: Nissi/Daffla 1 .0 66: Thado 3 .0 73: Lepcha 2 .0 74: Karbi 2 .0 75: Khasi 0 .0 85: Other Indian Language 7 .0 87: European Languages 3 .0 88: Don’t Know 1355 5.6 90: Adivasi other tea tribe language 2 .0 99: Not Ascertain/Ment,auto_extract
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,103,24,age;caste;electorate,age;all india;bjp;congress;inc;india;party;st;vote,voter_group_party_table,All India Postpoll NES 2019-Survey Findings ANDHRA PRADESH APQ1: Let me ask you about your preference in the Andhra Pradesh Assembly election. Which party did you vote for in the Assembly election? N (%) Valid (%) Valid 001: INC 6 .6 .6 002: BJP 4 .5 .5 003: BSP 2 .2 .2 004: CPI(M) 2 .2 .2 022: TDP 389 41.9 42.5 023: YSRCP 445 47.9 48.5 024: Jana Sena 28 3.0 3.1 902: NOTA 2 .2 .2 996: Can't say 27,auto_extract
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,119,24,age;caste;electorate,age;all india;bjp;congress;india;others;party;st;vote,voter_group_party_table,All India Postpoll NES 2019-Survey Findings N (%) 2: Nothing wrong in contesting with BJP 344 30.7 3: Others 16 1.4 8: No response 515 46.0 Total 1121 100.0 Q10: Did a candidate/party worker of the following parties come to your house to ask for your vote in the last one month? a: AGP N (%) 1: No 988 88.1 2: Yes 31 2.7 7: Can't say 77 6.9 8: No response 25 2.2 Total 1121 100.0 b: AIUDF N (%) 1: No,auto_extract
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,122,24,age;caste;electorate,age;all india;bjp;inc;india;nda;party;st;vote,voter_group_party_table,"All India Postpoll NES 2019-Survey Findings BIHAR BHQ1: If Assembly elections are held in Bihar tomorrow, which party would you vote for? N (%) 001: INC 94 7.8 002: BJP 319 26.5 003: BSP 2 .2 004: CPI(M) 3 .2 005: CPI 1 .1 008: JD-U 276 23.0 009: LJP 6 .5 010: RJD 369 30.7 011: CPI(ML)(L) 1 .1 029: HAM 3 .3 030: RLSP 1 .1 045: UDF 2 .2 600: NDA 4 .3 902: NOTA 2 .2 995: Did not vote 9 .7 996: Can't",auto_extract
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,130,24,age;caste;electorate,age;all india;bjp;inc;india;party;st;vote;voted,voter_group_party_table,"All India Postpoll NES 2019-Survey Findings GOA GAQ1: If Assembly elections are held in Goa tomorrow for some reason, which party would you vote for? N (%) 001: INC 221 36.7 002: BJP 226 37.4 006: NCP 0 .1 012: AAP 16 2.7 900: Independent 0 .1 902: NOTA 1 .1 995: Will not vote 5 .9 996: Can't say 100 16.6 998: No response 33 5.5 Total 603 100.0 GAQ2: And which party had you voted during the 2017 A",auto_extract
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,148,24,age;caste;electorate,age;all india;bjp;inc;india;nda;party;st;vote,post_poll_vote_choice_table,All India Postpoll NES 2019-Survey Findings HARYANA HRQ1: Let me ask you about your preference in the Haryana Assembly election. Which party did you vote for in the Assembly election? N (%) 001: INC 164 21.6 002: BJP 346 45.8 003: BSP 20 2.6 007: AITC 1 .1 012: AAP 7 .9 013: INLD 10 1.3 037: JJP 28 3.7 996: Can't say 135 17.9 997: Any other party 5 .6 998: No response 41 5.5 Total 757 100.0 HRQ2: ,auto_extract
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,157,24,age;caste;electorate,age;all india;bjp;congress;inc;india;party;st;vote,voter_group_party_table,"All India Postpoll NES 2019-Survey Findings HIMACHAL PRADESH HPQ1: If Assembly elections are held in Himachal Pradesh tomorrow, which party would you vote for? N (%) 001: INC 99 19.9 002: BJP 317 63.6 003: BSP 1 .2 005: CPI 0 .1 902: NOTA 1 .1 996: Can't say 57 11.4 998: No response 23 4.6 Total 498 100.0 HPQ2: Who would you like to see as the next Chief Minister of Himachal Pradesh? N (%) 01: Jai",auto_extract
