candidate_id,year,poll_type,source,source_file,source_page,source_table_index,source_table_title,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,raw_row_label,raw_column_label,raw_cell_value,extraction_confidence,evidence_text,candidate_status,notes
c40e085d-5631-4e46-85ea-152ece394a33,2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,92,203,2019_pre_poll_table_203.csv,state,Kerala,electorate,all voters,Others,60.1,998: No response/Can’t say,(%),60.1,high,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in the Kerala tomorrow, which party will you vote for? N (%) 001: Congress 22 7.2 002: BJP 14 4.7 004: CPI-M 25 8.3 012: AAP 1 .3 016: IUML 2 .7 045: UDF 20 6.8 04",auto_accepted_candidate,party_marginal_percent
6570fe88-ddb9-4033-9cce-41ab9c095004,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,805,2019_post_poll_table_805.csv,state,West Bengal,electorate,all voters,INC,14.6,001: INC,(%),14.6,medium,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",needs_review,party_marginal_percent
e457bf96-4607-4a56-8b3a-e5e33a39887f,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,805,2019_post_poll_table_805.csv,state,West Bengal,electorate,all voters,BJP,34.0,002: BJP,(%),34.0,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
54faf87d-a804-46b0-bc07-99775ce8c8b0,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,805,2019_post_poll_table_805.csv,state,West Bengal,electorate,all voters,BSP,90.0,003: BSP,(%),0.9,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
ea0d4741-91a2-47c8-869f-314736641ce5,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,805,2019_post_poll_table_805.csv,state,West Bengal,electorate,all voters,AAP,34.3,012: AAP,(%),34.3,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
a2daf22c-5785-4e6c-a87a-febe003844c3,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,805,2019_post_poll_table_805.csv,state,West Bengal,electorate,all voters,Others,11.3,996: Can't say,(%),11.3,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
ebec86ef-6dba-4018-b90f-225d9d9196cc,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,805,2019_post_poll_table_805.csv,state,West Bengal,electorate,all voters,Others,4.7,998: No response,(%),4.7,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
e3b23ff9-6885-4948-9604-cf78e414b988,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,183,533,2019_post_poll_table_533.csv,state,Madhya Pradesh,electorate,all voters,INC,15.3,001: INC,(%),15.3,medium,"All India Postpoll NES 2019-Survey Findings MADHYA PRADESH MPQ1: If Assembly elections are held again in Madhya Pradesh tomorrow for some reason, which party would you vote for? N (%) 001: INC 345 36.1 002: BJP 540 56.6 003: BSP 17 1.8 007: AITC 1 .1",needs_review,party_marginal_percent
a69c5e27-3f13-4120-86ef-da8fc3fcb696,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,183,533,2019_post_poll_table_533.csv,state,Madhya Pradesh,electorate,all voters,BJP,29.4,002: BJP,(%),29.4,high,"All India Postpoll NES 2019-Survey Findings MADHYA PRADESH MPQ1: If Assembly elections are held again in Madhya Pradesh tomorrow for some reason, which party would you vote for? N (%) 001: INC 345 36.1 002: BJP 540 56.6 003: BSP 17 1.8 007: AITC 1 .1",auto_accepted_candidate,party_marginal_percent
ac3351fd-9935-457d-8780-d9ae5073f37e,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,183,533,2019_post_poll_table_533.csv,state,Madhya Pradesh,electorate,all voters,BSP,0.0,003: BSP,(%),0.0,high,"All India Postpoll NES 2019-Survey Findings MADHYA PRADESH MPQ1: If Assembly elections are held again in Madhya Pradesh tomorrow for some reason, which party would you vote for? N (%) 001: INC 345 36.1 002: BJP 540 56.6 003: BSP 17 1.8 007: AITC 1 .1",auto_accepted_candidate,party_marginal_percent
