state,constituency,constituency_id,state_key,constituency_key,winner_2019,winner_2024,winner_party_2019,winner_party_2024,bjp_vote_share_2019,bjp_vote_share_2024,inc_vote_share_2019,inc_vote_share_2024,bjp_swing_2019_2024,inc_swing_2019_2024,winner_changed,margin_2019,margin_2024,margin_change,turnout_2019,turnout_2024,turnout_change,fertility_rate_nfhs5,electricity_pct_nfhs5,improved_sanitation_pct_nfhs5,lpg_pct_nfhs5,mobile_phone_pct_nfhs5,bank_account_pct_nfhs5,women_secondary_edu_pct_nfhs5,female_literacy_pct_nfhs5,male_literacy_pct_nfhs5,wealth_index_mean_nfhs5,urban_pct_nfhs5,fertility_rate_change,electricity_pct_change,improved_sanitation_pct_change,lpg_pct_change,mobile_phone_pct_change,bank_account_pct_change,women_secondary_edu_pct_change,female_literacy_pct_change,male_literacy_pct_change,wealth_index_mean_change,urban_pct_change,nfhs5_coverage_share,change_coverage_share,change_quality_flag,districts_used,districts_missing,manual_demographic_fields_count,manual_demographic_source_count,demographic_source_type
Gujarat,Valsad,GUJARAT__VALSAD,GUJARAT,VALSAD,Dr.K.C.PATEL,DHAVAL LAXMANBHAI PATEL,BJP,BJP,61.24992760102731,56.134848330151584,33.179199556957954,40.65796442073702,-5.115079270875725,7.4787648637790625,False,28.070728044069355,15.476883909414568,-12.593844134654788,46.1978540181804,41.08,-5.117854018180402,,100.0,91.76085234403511,58.80426172017552,63.521704688070216,58.80426172017552,,,,49311.380688746656,17.608523440351046,,13.05018920168648,80.5875352969672,52.60398142092036,61.65989583754635,,,,,,-22.67728286929668,0.1667,0.1667,low,KACHCHH→Kachchh,VALSAD; DANGS; NAVSARI,0,0,generated
Haryana,AMBALA,HARYANA__AMBALA,HARYANA,AMBALA,RATTAN LAL KATARIA,VARUN CHAUDHRY,BJP,INC,56.715404164150016,45.63829803032846,30.705990951463836,49.279435547945305,-11.07710613382156,18.57344459648147,True,26.00941321268618,3.641137517616848,-22.368275695069332,40.271002329920904,33.12,-7.151002329920907,,72.68267571826398,39.430701606229576,26.22938181634086,7.119063562586264,49.16960213797935,,,,-37792.15857325736,24.958995657577727,,-20.32488680591821,-11.646567940960692,-7.210418212060077,-9.957747907013076,,,,,,-15.669665463197692,0.9999,0.9999,low,AMBALA→Ambala; YAMUNANAGAR→Yamunanagar; PANCHKULA→Panchkula,,0,0,generated
Haryana,BHIWANI-MAHENDRAGARH,HARYANA__BHIWANI-MAHENDRAGARH,HARYANA,BHIWANI MAHENDRAGARH,Dharambir Singh S/o Bhale Ram,DHARAMBIR SINGH,BJP,BJP,63.44754826180008,49.7436612458224,25.168566421069404,46.23595671774851,-13.703887015977678,21.067390296679104,False,38.27898184073068,3.5077045280738943,-34.771277312656785,44.53191256572954,32.31,-12.22191256572954,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,election_only
Haryana,FARIDABAD,HARYANA__FARIDABAD,HARYANA,FARIDABAD,KRISHAN PAL,KRISHAN PAL,BJP,BJP,68.8032426853111,53.595949764905306,20.717549602763516,41.84366168656487,-15.207292920405798,21.126112083801356,False,48.08569308254759,11.752288078340436,-36.33340500420716,44.07833514173073,32.36,-11.718335141730734,,100.0,33.33333333333333,33.33333333333333,0.0,0.0,,,,-47361.0,0.0,,5.809150513966159,-11.069480953301223,-1.844005965283337,-18.982096806891064,,,,,,-40.7331303496039,0.125,0.125,low,KAITHAL→Kaithal,FARIDABAD,0,0,generated
Haryana,GURGAON,HARYANA__GURGAON,HARYANA,GURGAON,RAO INDERJIT SINGH,RAO INDERJIT SINGH,BJP,BJP,60.94300139162632,50.48212876085414,34.240367671407505,45.79330165772355,-10.46087263077218,11.552933986316049,False,26.702633720218813,4.688827103130585,-22.01380661708823,40.98826071916114,31.27,-9.71826071916114,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,medium,,GURGAON; REWARI,0,0,election_only
Haryana,HISAR,HARYANA__HISAR,HARYANA,HISAR,BRIJENDRA SINGH,JAI PARKASH (J P) S/O HARIKESH,BJP,INC,51.13186294410651,43.18512241134812,15.626226301394478,48.58331594434958,-7.94674053275839,32.9570896429551,True,26.61888735105338,5.398193533001461,-21.22069381805192,36.97038332116898,31.7,-5.270383321168982,,77.39062138514831,19.61247400742876,12.310748239928223,7.45822957213235,,,,,,45.54257312340363,,0.0,0.0,0.0,0.0,,,,,,0.0,1.0,1.0,medium,HISAR→Hisar (NFHS-4 proxy); JIND→Jind (NFHS-4 proxy),,0,0,generated
Haryana,KARNAL,HARYANA__KARNAL,HARYANA,KARNAL,Sanjay Bhatia,MANOHAR LAL,BJP,BJP,70.08369198030017,54.92899876067322,19.639246510784012,37.648488883209055,-15.154693219626957,18.009242372425042,False,50.44444546951616,17.280509877464162,-33.163935592052,47.87298346333591,35.04,-12.832983463335914,,100.0,20.14198362997877,44.440000000000005,0.0,20.14198362997877,,,,-26193.93582813881,20.14198362997877,,7.141363219889342,-22.523459368868853,14.87998272646903,-9.167639300160673,,,,,,1.0436618988298747,1.0,1.0,low,KARNAL→Karnal; PANIPAT→Panipat,,0,0,generated
Haryana,KURUKSHETRA,HARYANA__KURUKSHETRA,HARYANA,KURUKSHETRA,NAYAB SINGH,NAVEEN JINDAL,BJP,BJP,55.97690460591025,44.96123966722836,24.71447778494914,0.0,-11.015664938681889,-24.71447778494914,False,31.26242682096111,2.4066401740814953,-28.855786646879615,41.5503805808723,30.12,-11.4303805808723,,89.71176087168936,56.96915928376262,34.346280016019996,6.774610124493131,28.67030721143209,,,,-31215.84730028315,12.534714004096426,,3.8533583600365375,25.215160782125903,13.945207013745213,-5.317226125054999,,,,,,-18.25263893197364,0.9999,0.9999,low,KAITHAL→Kaithal; KURUKSHETRA→Kurukshetra; YAMUNANAGAR→Yamunanagar,,0,0,generated
Haryana,ROHTAK,HARYANA__ROHTAK,HARYANA,ROHTAK,ARVIND KUMAR SHARMA,DEEPENDER SINGH HOODA,BJP,INC,47.014471095905115,35.10604383369405,46.39975880141344,62.76426853864725,-11.908427262211063,16.36450973723381,True,0.6147122944916745,27.6582247049532,27.043512410461524,33.03402790690178,40.95,7.915972093098226,,87.90903798816991,28.13579185121587,17.7276483636273,6.713585192689232,,,,,,17.845462344768336,,0.0,0.0,0.0,0.0,,,,,,0.0,0.8888,0.8888,medium,JHAJJAR→Jhajjar (NFHS-4 proxy); ROHTAK→Rohtak (NFHS-4 proxy),REWARI,0,0,generated
Haryana,SIRSA,HARYANA__SIRSA,HARYANA,SIRSA,Sunita Duggal,SELJA,BJP,INC,52.161979019865846,34.35073141635514,29.531736724581336,54.17139119701883,-17.811247603510708,24.639654472437492,True,22.63024229528451,19.82065978066369,-2.8095825146208213,39.61246547395984,37.8,-1.81246547395984,,81.70154775389423,16.824793110069496,17.261475938633573,5.825798671539768,,,,,,11.652298158624788,,0.0,0.0,0.0,0.0,,,,,,0.0,1.0,1.0,medium,SIRSA→Sirsa (NFHS-4 proxy); FATEHABAD→Fatehabad (NFHS-4 proxy); JIND→Jind (NFHS-4 proxy),,0,0,generated
