year,poll_type,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,sample_size,source_table,source_page,confidence,notes,original_label,dedupe_status,duplicate_count,conflict_flag,dedupe_notes
2019,post_poll,national,,religion,,INC,7.0,,2019_post_poll_table_570.csv,,medium,auto-cleaned long table,nan | 06: Congress/Congress leaders,duplicate_conflict,3,True,conflicting vote_shares with tied confidence; values=7.0;13.0;21.0
2019,post_poll,national,,religion,,NDA,84.0,,2019_post_poll_table_194.csv,,medium,auto-cleaned long table,nan | 105: Khandayat,unique,1,False,
2019,post_poll,national,,religion,,Others,100.0,,2019_post_poll_table_115.csv,,medium,auto-cleaned long table,nan | 6: Others,duplicate_conflict,10,True,conflicting vote_shares with tied confidence; values=1.4;3.0;3.4;12.0;15.0;60.0;100.0
2019,post_poll,national,,religion,,Regional,90.0,,2019_post_poll_table_118.csv,,medium,auto-cleaned long table,nan | 8: No response,duplicate_conflict,7,True,conflicting vote_shares with tied confidence; values=7.0;28.0;45.0;46.0;90.0;100.0
2019,post_poll,national,,religion,Valid,INDIA,27.9,,2019_post_poll_table_118.csv,,medium,auto-cleaned long table,Valid | 1: Indian,unique,1,False,
2019,pre_poll,national,,age,,INC,15.3,,2019_pre_poll_table_016.csv,,medium,auto-cleaned long table,nan | 1: With our total household income we are able to fulfill all our needs & also end up saving some money.,duplicate_conflict,2,True,conflicting vote_shares with tied confidence; values=15.3;17.4
2019,pre_poll,national,,age,,INDIA,6.0,,2019_pre_poll_table_038.csv,,medium,auto-cleaned long table,nan | 87: Improving India’s image in the world,unique,1,False,
2019,pre_poll,national,,age,,Others,1.1,,2019_pre_poll_table_025.csv,,medium,auto-cleaned long table,nan | 8: Others,duplicate_conflict,2,True,conflicting vote_shares with tied confidence; values=1.1;36.0
2019,pre_poll,national,,age,,Regional,2.6,,2019_pre_poll_table_017.csv,,medium,auto-cleaned long table,nan | 8: No response,duplicate_conflict,2,True,conflicting vote_shares with tied confidence; values=2.6;41.0
2019,pre_poll,national,,caste,,NDA,22.0,,2019_pre_poll_table_111.csv,,medium,auto-cleaned long table,"nan | 507: Kandara, Gokha",duplicate_conflict,3,True,conflicting vote_shares with tied confidence; values=22.0;33.0;100.0
2019,pre_poll,national,,caste,,Others,10.0,,2019_pre_poll_table_088.csv,,medium,auto-cleaned long table,nan | 09: Other higher professionals,duplicate_conflict,6,True,conflicting vote_shares with tied confidence; values=7.0;10.0;38.0;42.6;50.0;72.0
2019,pre_poll,national,,caste,,Regional,8.2,,2019_pre_poll_table_062.csv,,medium,auto-cleaned long table,nan | 8: No response,unique,1,False,
2019,pre_poll,national,,gender,,BJP,40.0,,2019_pre_poll_table_035.csv,,medium,auto-cleaned long table,"nan | 27: Vote for Modi or BJP, bringing Modi or BJP back",unique,1,False,
2019,pre_poll,national,,gender,,INC,63.0,,2019_pre_poll_table_034.csv,,medium,auto-cleaned long table,"nan | 06: Economic inequality, increasing gap between rich and poor",duplicate_conflict,2,True,conflicting vote_shares with tied confidence; values=9.0;63.0
2019,pre_poll,national,,gender,,INDIA,4.3,,2019_pre_poll_table_084.csv,,medium,auto-cleaned long table,nan | 07: India-Pakistan,unique,1,False,
2019,pre_poll,national,,gender,,NDA,73.0,,2019_pre_poll_table_107.csv,,medium,auto-cleaned long table,nan | 105: Khandayat,unique,1,False,
2019,pre_poll,national,,gender,,Others,33.0,,2019_pre_poll_table_035.csv,,medium,auto-cleaned long table,nan | 31: Vote in favour of any other party or leader,duplicate_conflict,11,True,conflicting vote_shares with tied confidence; values=1.6;2.0;2.7;3.4;10.0;13.0;20.0;33.0;34.0;42.0;88.0
2019,pre_poll,national,,gender,,Regional,19.0,,2019_pre_poll_table_035.csv,,medium,auto-cleaned long table,"nan | 17: Transport services – buses, trains, flights",duplicate_conflict,9,True,conflicting vote_shares with tied confidence; values=2.0;3.3;4.7;6.8;18.0;18.5;19.0;35.0;48.0
2019,pre_poll,national,,gender,,UPA,44.0,,2019_pre_poll_table_091.csv,,medium,auto-cleaned long table,nan | 95: Any other occupation,unique,1,False,
2019,pre_poll,national,,religion,,NDA,6.0,,2019_pre_poll_table_106.csv,,medium,auto-cleaned long table,nan | 037: Thondai,unique,1,False,
2019,pre_poll,national,,religion,,Others,1.5,,2019_pre_poll_table_027.csv,,medium,auto-cleaned long table,nan | 4: Others,duplicate_conflict,4,True,conflicting vote_shares with tied confidence; values=1.5;2.0;7.0;30.0
2019,pre_poll,national,,religion,,Regional,3.1,,2019_pre_poll_table_027.csv,,medium,auto-cleaned long table,nan | 8: No response,unique,1,False,
2024,post_poll,national,,age,,NDA,100.0,,2024_post_poll_table_083.csv,,medium,auto-cleaned long table,nan | 471: Bhandari Naik,unique,1,False,
2024,post_poll,national,,age,,Others,53.0,,2024_post_poll_table_009.csv,,medium,auto-cleaned long table,nan | 97: Any other reason,duplicate_conflict,3,True,conflicting vote_shares with tied confidence; values=1.6;53.0;100.0
2024,post_poll,national,,caste,,INC,29.0,,2024_post_poll_table_024.csv,,medium,auto-cleaned long table,nan | 07: NCP (Ajit Pawar)/ Nationalist Congress Party,unique,1,False,
2024,post_poll,national,,caste,,INDIA,45.0,,2024_post_poll_table_004.csv,,medium,auto-cleaned long table,nan | 006: Communist Party of India,duplicate_conflict,2,True,conflicting vote_shares with tied confidence; values=3.0;45.0
2024,post_poll,national,,caste,,NDA,2.0,,2024_post_poll_table_080.csv,,medium,auto-cleaned long table,nan | 037: Thondai Mandala Saiva Vellala,duplicate_conflict,2,True,conflicting vote_shares with tied confidence; values=2.0;8.0
2024,post_poll,national,,caste,,Others,74.0,,2024_post_poll_table_069.csv,,medium,auto-cleaned long table,nan | 97: Any other,duplicate_conflict,2,True,conflicting vote_shares with tied confidence; values=2.7;74.0
