year,poll_type,source,source_file,source_page,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,confidence,data_origin,approval_status,evidence_text,notes,candidate_id
2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,21,state,Delhi,electorate,all voters,BSP,1.6,high,taxonomy_auto,approved,All India Postpoll NES 2019-Survey Findings N (%) 45: Arvind Kejriwal (Delhi) 40 .2 46: Pramod Sawant (Goa) 0 .0 47: Vijaybhai R Rupani (Gujarat) 6 .0 48: Manohar Lal Khattar (Haryana) 1 .0 52: Pinarayi Vijayan (Kerala) 4 .0 55: N Biren Singh (Manipu,party_marginal_percent,54ec0958-e79b-45b6-b52b-243d2aff86f4
2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,21,state,Delhi,electorate,all voters,TMC,2.1,high,taxonomy_auto,approved,All India Postpoll NES 2019-Survey Findings N (%) 45: Arvind Kejriwal (Delhi) 40 .2 46: Pramod Sawant (Goa) 0 .0 47: Vijaybhai R Rupani (Gujarat) 6 .0 48: Manohar Lal Khattar (Haryana) 1 .0 52: Pinarayi Vijayan (Kerala) 4 .0 55: N Biren Singh (Manipu,party_marginal_percent,106cdf02-7440-4a65-ad2d-0ad9b8020f7e
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,87,state,Haryana,electorate,all voters,BJP,68.8,high,taxonomy_auto,approved,NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 2 .7 4: Don’t like at all 38 11.8 8: No response 26 8.2 Total 318 100.0 e: Congress N (%) 1: Like a lot 24 7.6 2: Like somewhat 60 18.9 3: Like somewhat 24 7.6 4: Don’t like at all 186 58.6,party_marginal_percent,46661bb3-ff0f-4950-bed2-adcd0b894a87
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,87,state,Haryana,electorate,all voters,BSP,60.0,high,taxonomy_auto,approved,NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 2 .7 4: Don’t like at all 38 11.8 8: No response 26 8.2 Total 318 100.0 e: Congress N (%) 1: Like a lot 24 7.6 2: Like somewhat 60 18.9 3: Like somewhat 24 7.6 4: Don’t like at all 186 58.6,party_marginal_percent,34dddd2b-5cca-4518-8921-94d2bf2bf3dd
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,87,state,Haryana,electorate,all voters,AAP,80.0,high,taxonomy_auto,approved,NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 2 .7 4: Don’t like at all 38 11.8 8: No response 26 8.2 Total 318 100.0 e: Congress N (%) 1: Like a lot 24 7.6 2: Like somewhat 60 18.9 3: Like somewhat 24 7.6 4: Don’t like at all 186 58.6,party_marginal_percent,de460cdf-eb90-43c0-a309-712431766b55
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,113,state,Delhi,electorate,all voters,BJP,32.1,high,taxonomy_auto,approved,NES 2019 Prepoll-Survey findings.docx N (%) 1: Like a lot 83 31.4 2: Like somewhat 101 38.0 3: Like somewhat 34 12.6 4: Don’t like at all 47 17.6 8: No response 1 .4 Total 266 100.0 c: Congress N (%) 1: Like a lot 34 13.0 2: Like somewhat 69 26.0 3: ,party_marginal_percent,268ca316-5e3f-4414-809d-e122fdae1851
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,113,state,Delhi,electorate,all voters,AAP,36.4,high,taxonomy_auto,approved,NES 2019 Prepoll-Survey findings.docx N (%) 1: Like a lot 83 31.4 2: Like somewhat 101 38.0 3: Like somewhat 34 12.6 4: Don’t like at all 47 17.6 8: No response 1 .4 Total 266 100.0 c: Congress N (%) 1: Like a lot 34 13.0 2: Like somewhat 69 26.0 3: ,party_marginal_percent,1c91ecc7-f59d-4691-aa79-bd4a2b7f3d84
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,113,state,Delhi,electorate,all voters,Others,19.8,high,taxonomy_auto,approved,NES 2019 Prepoll-Survey findings.docx N (%) 1: Like a lot 83 31.4 2: Like somewhat 101 38.0 3: Like somewhat 34 12.6 4: Don’t like at all 47 17.6 8: No response 1 .4 Total 266 100.0 c: Congress N (%) 1: Like a lot 34 13.0 2: Like somewhat 69 26.0 3: ,party_marginal_percent,638eecd5-45a0-4f2f-bd43-5cbffc0eb390
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,94,state,Madhya Pradesh,electorate,all voters,BJP,50.2,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Madhya Pradesh tomorrow, which party will you vote for? N (%) 001: Congress 196 37.8 002: BJP 260 50.2 003: BSP 2 .4 998: No response/Can’t say 60 11.6 Total 51",party_marginal_percent,3fdbcf33-fcfe-4bba-8712-f2d285032d10
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,94,state,Madhya Pradesh,electorate,all voters,BSP,40.0,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Madhya Pradesh tomorrow, which party will you vote for? N (%) 001: Congress 196 37.8 002: BJP 260 50.2 003: BSP 2 .4 998: No response/Can’t say 60 11.6 Total 51",party_marginal_percent,89c7ac74-62ea-42f7-b922-6f4551f82f38
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,94,state,Madhya Pradesh,electorate,all voters,Others,11.6,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Madhya Pradesh tomorrow, which party will you vote for? N (%) 001: Congress 196 37.8 002: BJP 260 50.2 003: BSP 2 .4 998: No response/Can’t say 60 11.6 Total 51",party_marginal_percent,726d5726-23b6-42b1-9466-c81e3e0ece83
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,80,state,Assam,electorate,all voters,BJP,47.1,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Assam tomorrow, which party will you vote for? N (%) 001: Congress 97 30.6 002: BJP 149 47.1 004: CPI-M 1 .4 028: BPF 41 13.0 902: NOTA 1 .2 998: No response/Ca",party_marginal_percent,f57f54ae-f4ff-4276-98e8-9e7c9af1a313
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,80,state,Assam,electorate,all voters,Others,8.6,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Assam tomorrow, which party will you vote for? N (%) 001: Congress 97 30.6 002: BJP 149 47.1 004: CPI-M 1 .4 028: BPF 41 13.0 902: NOTA 1 .2 998: No response/Ca",party_marginal_percent,276e0b7e-a2e4-4588-805e-5e520782c44e
