year,geography_level,state,voter_group_type,voter_group,party_or_alliance,pre_poll_vote_share,post_poll_vote_share,pre_to_post_shift,absolute_shift,shift_direction,notes
2019,national,,gender,,Others,13.0,4.0,-9.0,9.0,decreased_post_poll,
2019,national,,gender,,Others,13.0,20.0,7.0,7.0,increased_post_poll,
2019,national,,gender,,Others,3.4,29.0,25.6,25.6,increased_post_poll,
2019,national,,gender,,Others,3.4,10.0,6.6,6.6,increased_post_poll,
2019,national,,gender,,Others,3.4,20.0,16.6,16.6,increased_post_poll,
2019,national,,gender,,Others,3.4,42.0,38.6,38.6,increased_post_poll,
2019,national,,gender,,Others,3.4,30.0,26.6,26.6,increased_post_poll,
2019,national,,gender,,Others,3.4,40.0,36.6,36.6,increased_post_poll,
2019,national,,gender,,Others,3.4,22.0,18.6,18.6,increased_post_poll,
2019,national,,gender,,Others,3.4,14.0,10.6,10.6,increased_post_poll,
2019,national,,gender,,Others,3.4,90.0,86.6,86.6,increased_post_poll,
2019,national,,gender,,Others,3.4,20.0,16.6,16.6,increased_post_poll,
2019,national,,gender,,Others,3.4,10.0,6.6,6.6,increased_post_poll,
2019,national,,gender,,Others,3.4,60.0,56.6,56.6,increased_post_poll,
2019,national,,gender,,Others,3.4,71.0,67.6,67.6,increased_post_poll,
2019,national,,gender,,Others,3.4,3.0,-0.4,0.4,unchanged,
2019,national,,gender,,Others,3.4,62.0,58.6,58.6,increased_post_poll,
2019,national,,gender,,Others,3.4,10.0,6.6,6.6,increased_post_poll,
2019,national,,gender,,Others,3.4,33.0,29.6,29.6,increased_post_poll,
2019,national,,gender,,Others,3.4,0.0,-3.4,3.4,decreased_post_poll,
2019,national,,gender,,Others,3.4,10.0,6.6,6.6,increased_post_poll,
2019,national,,gender,,Others,3.4,11.0,7.6,7.6,increased_post_poll,
2019,national,,gender,,Others,3.4,65.3,61.9,61.9,increased_post_poll,
2019,national,,gender,,Others,3.4,4.0,0.6,0.6,increased_post_poll,
2019,national,,gender,,Others,3.4,20.0,16.6,16.6,increased_post_poll,
2019,national,,gender,,Others,1.6,29.0,27.4,27.4,increased_post_poll,
2019,national,,gender,,Others,1.6,10.0,8.4,8.4,increased_post_poll,
2019,national,,gender,,Others,1.6,20.0,18.4,18.4,increased_post_poll,
2019,national,,gender,,Others,1.6,42.0,40.4,40.4,increased_post_poll,
2019,national,,gender,,Others,1.6,30.0,28.4,28.4,increased_post_poll,
2019,national,,gender,,Others,1.6,40.0,38.4,38.4,increased_post_poll,
2019,national,,gender,,Others,1.6,22.0,20.4,20.4,increased_post_poll,
2019,national,,gender,,Others,1.6,14.0,12.4,12.4,increased_post_poll,
2019,national,,gender,,Others,1.6,90.0,88.4,88.4,increased_post_poll,
2019,national,,gender,,Others,1.6,20.0,18.4,18.4,increased_post_poll,
2019,national,,gender,,Others,1.6,10.0,8.4,8.4,increased_post_poll,
2019,national,,gender,,Others,1.6,60.0,58.4,58.4,increased_post_poll,
2019,national,,gender,,Others,1.6,71.0,69.4,69.4,increased_post_poll,
2019,national,,gender,,Others,1.6,3.0,1.4,1.4,increased_post_poll,
