state,constituency,winning_party,alliance_2019,winner_vote_share,margin_votes,party_type,ideology,effective_num_parties,top2_margin_pct
Himachal Pradesh,Kangra,BJP,NDA,72.01846296235608,477623.0,national,centre-right,1.7260388454867988,47.43080609619369
Himachal Pradesh,Mandi,BJP,NDA,68.74962156259328,405459.0,national,centre-right,1.8551740612844836,43.071116488610755
Himachal Pradesh,Shimla,BJP,NDA,66.35041106296252,327514.0,national,centre-right,1.8744179042049567,35.848455626981846
Jammu & Kashmir,Anantnag,JKN,INDIA,32.17076607737638,6676.0,regional,regional_centre,4.123752635814069,5.345247245708428
Jammu & Kashmir,Baramulla,JKN,INDIA,29.28899132916255,30233.0,regional,regional_centre,4.811551147605551,6.636593129184501
Jammu & Kashmir,Jammu,BJP,NDA,58.024675495927426,302875.0,national,centre-right,2.0928949302228834,20.481202600766167
Jammu & Kashmir,Ladakh,BJP,NDA,33.9439672219322,10930.0,national,centre-right,3.824799108515916,8.645373578219672
Jammu & Kashmir,Srinagar,JKN,INDIA,57.13689303759527,70050.0,regional,regional_centre,2.5657489795857353,37.4935771174103
Jammu & Kashmir,Udhampur,BJP,NDA,61.37589047921276,357252.0,national,centre-right,2.1078021903009683,30.27243770352751
Jharkhand,Chatra,BJP,NDA,57.03163390165854,377871.0,national,centre-right,2.7636128616873816,40.80957991742419
Jharkhand,Dhanbad,BJP,NDA,66.02991498359297,486194.0,national,centre-right,1.9590034224889867,38.8080621511362
Jharkhand,Dumka,BJP,NDA,47.26492444208786,47590.0,national,centre-right,2.461607160996338,4.6385462314614045
Jharkhand,Giridih,AJSUP,NDA,58.56594616764747,248347.0,regional,tribal_regional,2.1095385231615915,22.43589859411447
Jharkhand,Godda,BJP,NDA,53.39956249225316,184227.0,national,centre-right,2.324127841156541,15.428931791001268
Jharkhand,Hazaribagh,BJP,NDA,67.42329977269551,479548.0,national,centre-right,1.963799251429537,44.36443096632618
