state,constituency,candidate,gender,age,category,party,party_symbol,total_votes_polled_in_the_constituency,valid_votes,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,over_total_valid_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes
Andhra Pradesh,Ananthapur,SHAIK.NIZAM,MALE,49.0,GENERAL,SP,Bicycle pump,1445498.0,1431229.0,749.0,4.0,753.0,0.04,0.05,0.05,1769264.0,2024,17,False,0.0522761290394244,745.0,
Andhra Pradesh,Ananthapur,RAMAVTH CHINNA RAMAPPA NAIK,MALE,37.0,ST,JRBP,Coat,1445498.0,1431229.0,735.0,10.0,745.0,0.04,0.05,0.05,1769264.0,2024,18,False,0.05172073855826185,578.0,
Andhra Pradesh,Ananthapur,KURUBA MALLIKARJUNA.S.,MALE,37.0,GENERAL,AINDKSJNTP,Air conditioner,1445498.0,1431229.0,574.0,4.0,578.0,0.03,0.04,0.04,1769264.0,2024,19,False,0.04012696226399376,570.0,
Andhra Pradesh,Ananthapur,B.NAGAMUTHYALU,MALE,42.0,GENERAL,SUCI,Bat,1445498.0,1431229.0,566.0,4.0,570.0,0.03,0.04,0.04,1769264.0,2024,20,False,0.039571571782831216,494.0,
Andhra Pradesh,Ananthapur,SRINIVASA RAJU.O,MALE,35.0,GENERAL,BYPP,Apple,1445498.0,1431229.0,489.0,5.0,494.0,0.03,0.03,0.03,1769264.0,2024,21,False,0.03429536221178705,444.0,
Andhra Pradesh,Ananthapur,DURGA PRASAD D BYATARAYANAJI,MALE,58.0,GENERAL,CHALP,Almirah,1445498.0,1431229.0,439.0,5.0,444.0,0.03,0.03,0.03,1769264.0,2024,22,False,0.030824171704521158,,
Andhra Pradesh,Araku,GUMMA THANUJA RANI,FEMALE,31.0,ST,YSRCP,Ceiling fan,1165787.0,1113975.0,471470.0,5535.0,477005.0,30.63,40.92,42.82,1557153.0,2024,1,True,40.964150303363404,426425.0,50580.0
Andhra Pradesh,Araku,KOTHAPALLI GEETHA,FEMALE,53.0,ST,BJP,Lotus,1165787.0,1113975.0,417113.0,9312.0,426425.0,27.38,36.58,38.28,1557153.0,2024,2,False,36.62045008566312,123129.0,
Andhra Pradesh,Araku,APPALANARASA PACHIPENTA,MALE,41.0,ST,CPI(M),"Hammer, Sickle and Star",1165787.0,1113975.0,119016.0,4113.0,123129.0,7.91,10.56,11.05,1557153.0,2024,3,False,10.574050298640126,50470.0,
Andhra Pradesh,Araku,NOTA,,,,NOTA,NOTA,1165787.0,1113975.0,50205.0,265.0,50470.0,3.24,4.33,4.53,1557153.0,2024,4,False,4.334253657321729,25750.0,
