state,constituency,winning_party,alliance_2024,winner_vote_share,margin_votes,party_type,ideology,effective_num_parties,top2_margin_pct
Haryana,HISAR,INC,INDIA,48.58331594434958,63381.0,national,centre-left,2.359751032123116,5.398193533001461
Haryana,KARNAL,BJP,NDA,54.92899876067322,232577.0,national,centre-right,2.249101299254505,17.280509877464162
Haryana,KURUKSHETRA,BJP,NDA,44.96123966722836,29021.0,national,centre-right,2.57785030820335,2.4066401740814953
Haryana,ROHTAK,INC,INDIA,62.76426853864725,345298.0,national,centre-left,1.933394719009312,27.6582247049532
Haryana,SIRSA,INC,INDIA,54.17139119701883,268497.0,national,centre-left,2.4012803431448626,19.82065978066369
Haryana,SONIPAT,INC,INDIA,48.81755674659947,21816.0,national,centre-left,2.1817050687026254,1.9410219726249665
Himachal Pradesh,HAMIRPUR,BJP,NDA,57.96710090970463,182357.0,national,centre-right,1.9979078612256809,17.412722496641244
Himachal Pradesh,KANGRA,BJP,NDA,61.02927277146175,251895.0,national,centre-right,1.9703890068279912,24.293834895087898
Himachal Pradesh,MANDI,BJP,NDA,52.86638249278901,74755.0,national,centre-right,2.0549294265073574,7.359151809885709
Himachal Pradesh,SHIMLA,BJP,NDA,53.5842014918064,91451.0,national,centre-right,2.0736933576559777,9.428278339940093
Jammu and Kashmir,ANANTNAG-RAJOURI,JKN,INDIA,50.8538729306104,281794.0,regional,regional_centre,2.995924814516862,27.46134085921329
Jammu and Kashmir,BARAMULLA,IND,OTHER,45.698907050972046,204142.0,independent,independent,3.2696162002640756,19.744849598607214
Jammu and Kashmir,JAMMU,BJP,NDA,52.80300051605927,135498.0,national,centre-right,2.1799099665919957,10.405505860958883
Jammu and Kashmir,SRINAGAR,JKN,INDIA,52.85008930131716,188416.0,regional,regional_centre,2.8369683077873873,27.903477568042277
Jammu and Kashmir,UDHAMPUR,BJP,NDA,51.27612062920267,124373.0,national,centre-right,2.3505901687401565,11.167278875343783
Jharkhand,Chatra,BJP,NDA,52.88715469066562,220959.0,national,centre-right,2.5806571344939067,20.33899709218037
Jharkhand,Dhanbad,BJP,NDA,55.26387475691645,331583.0,national,centre-right,2.4284889249327146,23.219984215763645
Jharkhand,Dumka,JMM,INDIA,46.22542081457135,22527.0,regional,tribal_regional,2.432800818584341,1.902406150665641
Jharkhand,Giridih,AJSUP,NDA,35.667870778197596,80880.0,regional,tribal_regional,3.4620280276308675,6.394520067076048
Jharkhand,Godda,BJP,NDA,49.57359584152241,101813.0,national,centre-right,2.3509253114285023,7.281698521817994
Jharkhand,Hazaribagh,BJP,NDA,51.7616890454167,276686.0,national,centre-right,2.679581236702276,21.8781703009567
Jharkhand,Jamshedpur,BJP,NDA,56.837626572346124,259782.0,national,centre-right,2.1902733421214164,20.333132701277137
Jharkhand,Khunti,INC,INDIA,54.623340685526145,149675.0,national,centre-left,2.22868902696506,15.979275784097489
Jharkhand,Kodarma,BJP,NDA,57.7867009644049,377014.0,national,centre-right,2.3392343206840205,27.51999322609937
Jharkhand,Lohardaga,INC,INDIA,49.94576709318858,139138.0,national,centre-left,2.6376570985483827,14.386764895954514
Jharkhand,Palamu,BJP,NDA,55.392316884992,288807.0,national,centre-right,2.334059553492403,20.76645637064638
Jharkhand,Rajmahal,JMM,INDIA,50.34857405998281,178264.0,regional,tribal_regional,2.6050844860969167,14.632804952025403
Jharkhand,Ranchi,BJP,NDA,45.91385023011077,120512.0,national,centre-right,2.7717599676649147,8.323910867734824
Jharkhand,Singhbhum,JMM,INDIA,51.62421087002046,168402.0,regional,tribal_regional,2.553163966736589,16.71322959476855
Karnataka,Bagalkot,BJP,NDA,50.93039335560176,68399.0,national,centre-right,2.1336141833603848,5.191334594755013
Karnataka,Bangalore North,BJP,NDA,56.26514975144137,259476.0,national,centre-right,2.0469059969442287,14.80601470809767
Karnataka,Bangalore Rural,BJP,NDA,56.2114881690405,269647.0,national,centre-right,2.025106763380171,14.047480125446725
Karnataka,Bangalore South,BJP,NDA,60.09803560594297,277083.0,national,centre-right,1.9801135791350168,22.17831466483957
Karnataka,Bangalore central,BJP,NDA,50.05013254741704,32707.0,national,centre-right,2.0970776573959156,2.484371558134775
Karnataka,Belgaum,BJP,NDA,55.06431512932034,178437.0,national,centre-right,2.07836083302846,12.893880939873064
Karnataka,Bellary,INC,INDIA,52.58203025510931,98992.0,national,centre-left,2.0694790424525995,7.122167270780778
Karnataka,Bidar,INC,INDIA,53.634806435046634,128875.0,national,centre-left,2.1056862992489482,10.373719534870993
Karnataka,Bijapur,BJP,NDA,51.90754825578614,77229.0,national,centre-right,2.0804674365440703,5.9585036501418855
Karnataka,Chamarajanagar,INC,INDIA,54.874627408294806,188706.0,national,centre-left,2.126436462579179,13.776201875168361
Karnataka,Chikkballapur,BJP,NDA,53.73714741119139,163460.0,national,centre-right,2.1086339382471717,10.677937314641824
Karnataka,Chikkodi,INC,INDIA,51.21416875973105,90834.0,national,centre-left,2.162469580314216,6.520311278572223
Karnataka,Chitradurga,BJP,NDA,50.10501796388787,48121.0,national,centre-right,2.13604976306213,3.5204245491104373
Karnataka,Dakshina Kannada,BJP,NDA,53.97289107694046,149208.0,national,centre-right,2.0822416710238896,10.538999978810118
Karnataka,Davanagere,INC,INDIA,47.94564848587666,26094.0,national,centre-left,2.260849822400365,1.9762672224713072
Karnataka,Dharwad,BJP,NDA,52.41388344306696,97324.0,national,centre-right,2.083659610353192,7.1221837538630055
Karnataka,Gulbarga,INC,INDIA,49.77737114043207,27205.0,national,centre-left,2.1034080963206083,2.0759616536574015
Karnataka,Hassan,INC,INDIA,49.6667544890912,42649.0,national,centre-left,2.15859428581532,3.147511415070177
Karnataka,Haveri,BJP,NDA,50.54677850598791,43513.0,national,centre-right,2.0810089121354904,3.1173968987227383
Karnataka,Kolar,JD(S),NDA,51.02322266068883,71388.0,regional,regional_centre,2.1285829653076487,5.2676007284383175
Karnataka,Koppal,INC,INDIA,49.927987502784184,46357.0,national,centre-left,2.150216355731352,3.4882793452807377
Karnataka,Mandya,JD(S),NDA,58.33734515674188,284620.0,regional,regional_centre,2.0351426532159262,19.4909561059724
Karnataka,Mysore,BJP,NDA,53.588243100413415,139262.0,national,centre-right,2.0719356615054543,9.381241693180009
Karnataka,Raichur,INC,INDIA,51.627900176898,79781.0,national,centre-left,2.111390876137466,6.138799140363453
Karnataka,Shimoga,BJP,NDA,56.542799137976104,243715.0,national,centre-right,2.12243813672544,17.6961046278601
Karnataka,Tumkur,BJP,NDA,55.310556361535646,175594.0,national,centre-right,2.078691194815896,13.471469199839504
Karnataka,Udupi Chikmagalur,BJP,NDA,59.55940127767773,259175.0,national,centre-right,1.9884659491219865,21.08111317712934
Karnataka,Uttara Kannada,BJP,NDA,61.966991378416026,337428.0,national,centre-right,1.9672109505776496,26.721446101043668
Kerala,Alappuzha,INC,INDIA,38.212794334199494,63513.0,national,centre-left,3.0307129310084124,5.999132901295269
Kerala,Alathur,CPI(M),INDIA,40.659075975442114,20111.0,national,far-left,2.8513794880022427,2.0267709933203477
Kerala,Attingal,INC,INDIA,33.29314420084011,684.0,national,centre-left,3.1107075610193826,0.0694175924882856
Kerala,Chalakudy,INC,INDIA,41.435549944443686,63754.0,national,centre-left,3.152011785436468,6.701868100793973
Kerala,Ernakulam,INC,INDIA,52.97264585909751,250385.0,national,centre-left,2.6833178562395728,27.499665019956026
Kerala,Idukki,INC,INDIA,51.432629479086,133727.0,national,centre-left,2.4832255333725524,15.90743906254275
Kerala,Kannur,INC,INDIA,48.740100859609626,108982.0,national,centre-left,2.5092243886340797,10.244065215654388
Kerala,Kasaragod,INC,INDIA,44.10235621718113,100649.0,national,centre-left,2.8059731401721075,9.046727056679003
Kerala,Kollam,RSP,INDIA,48.44734741304654,150302.0,national,far-left,2.708840407855445,16.414052338616415
Kerala,Kottayam,KEC,OTHER,43.6045169769308,87266.0,unknown,unknown,2.946353889966315,10.435733052068656
Kerala,Kozhikode,INC,INDIA,47.742855832301274,146176.0,national,centre-left,2.6786421227922697,13.410027062978763
Kerala,Malappuram,IUML,INDIA,59.345436986606856,300118.0,regional,muslim_minority,2.179401893402265,27.65600608930115
