party,votes,vote_share_pct,seats,seat_share_pct,representation_gap
AHFBK,23252.0,0.003785905062751368,0.0,0.0,-0.003785905062751368
WPOI,23035.0,0.0037505729881506006,0.0,0.0,-0.0037505729881506006
SatBP,22560.0,0.0036732331935175845,0.0,0.0,-0.0036732331935175845
HSS,21771.0,0.0035447677241166368,0.0,0.0,-0.0035447677241166368
AJM,21678.0,0.003529625406430594,0.0,0.0,-0.003529625406430594
MOSP,21234.0,0.003457333051026258,0.0,0.0,-0.003457333051026258
MCPI,21045.0,0.0034265599537933317,0.0,0.0,-0.0034265599537933317
BKNP,20995.0,0.0034184189227793294,0.0,0.0,-0.0034184189227793294
SABHP,20764.0,0.003380807359494642,0.0,0.0,-0.003380807359494642
RRP,20704.0,0.0033710381222778396,0.0,0.0,-0.0033710381222778396
IPBP,20682.0,0.003367456068631679,0.0,0.0,-0.003367456068631679
PHJSP,20620.0,0.003357361190174317,0.0,0.0,-0.003357361190174317
INCP,20235.0,0.0032946752513665035,0.0,0.0,-0.0032946752513665035
BBC,19500.0,0.0031750020954606777,0.0,0.0,-0.0031750020954606777
PBI,19457.0,0.0031680008087886366,0.0,0.0,-0.0031680008087886366
JKP(N),18869.0,0.0030722622840639756,0.0,0.0,-0.0030722622840639756
AAPP,18866.0,0.003071773822203136,0.0,0.0,-0.003071773822203136
LOGAP,18684.0,0.0030421404693121695,0.0,0.0,-0.0030421404693121695
SMFB,18577.0,0.003024718662942206,0.0,0.0,-0.003024718662942206
LD,18218.0,0.002966266060261673,0.0,0.0,-0.002966266060261673
NEP,18037.0,0.0029367955279909867,0.0,0.0,-0.0029367955279909867
JTVP,17955.0,0.002923444237128024,0.0,0.0,-0.002923444237128024
VCSMP,17856.0,0.0029073249957203007,0.0,0.0,-0.0029073249957203007
RMPOI,17125.0,0.0027883031222955953,0.0,0.0,-0.0027883031222955953
RJsbhP,16902.0,0.0027519941239731475,0.0,0.0,-0.0027519941239731475
AJPI,16749.0,0.002727082569070302,0.0,0.0,-0.002727082569070302
BNJD,16743.0,0.0027261056453486217,0.0,0.0,-0.0027261056453486217
HBP,16672.0,0.0027145453813087394,0.0,0.0,-0.0027145453813087394
AABHAP,16481.0,0.002683446642835253,0.0,0.0,-0.002683446642835253
RMGP,16371.0,0.002665536374604449,0.0,0.0,-0.002665536374604449
JKPP,16195.0,0.002636879945435163,0.0,0.0,-0.002636879945435163
BARP,15907.0,0.0025899876067945133,0.0,0.0,-0.0025899876067945133
MPJVP,15472.0,0.002519160636972698,0.0,0.0,-0.002519160636972698
BDlP,15376.0,0.0025035298574258144,0.0,0.0,-0.0025035298574258144
SPL,15132.0,0.0024638016260774857,0.0,0.0,-0.0024638016260774857
DMSK,15008.0,0.0024436118691627618,0.0,0.0,-0.0024436118691627618
VPP,14974.0,0.0024380759680732405,0.0,0.0,-0.0024380759680732405
SVPP,14882.0,0.0024230964710074774,0.0,0.0,-0.0024230964710074774
BPSJP,14757.0,0.0024027438934724732,0.0,0.0,-0.0024027438934724732
RPIK,14746.0,0.0024009528666493925,0.0,0.0,-0.0024009528666493925
JAC,14595.0,0.0023763669529871076,0.0,0.0,-0.0023763669529871076
SJPA,14213.0,0.002314169476040134,0.0,0.0,-0.002314169476040134
BRPI,14142.0,0.0023026092120002517,0.0,0.0,-0.0023026092120002517
BAWPA,14060.0,0.0022892579211372887,0.0,0.0,-0.0022892579211372887
