state,constituency,candidate,sex,age,category,party,party_symbol,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes,raw_swing,sim_vote_share,sim_rank
Andhra Pradesh,Aruku,ANUMULA VAMSIKRISHNA,MALE,41.0,ST,IND,Helicopter,10211.0,29.0,10240.0,0.705516949631326,0.949700204500874,1451418.0,2019,9.0,False,0.9529676940229196,7867.0,,0.0,0.9529676940229197,9.0
Andhra Pradesh,Aruku,BIDDIKA RAMAYYA.,MALE,57.0,ST,IND,Battery Torch,7863.0,4.0,7867.0,0.5420216643310197,0.729618311407068,1451418.0,2019,10.0,False,0.7321285985232723,4710.0,,0.0,0.7321285985232724,10.0
Andhra Pradesh,Aruku,SWAMULA. SUBRAHMANYAM,MALE,50.0,ST,JAJGP,Mike,4705.0,5.0,4710.0,0.324510237574565,0.4368249964061638,1451418.0,2019,11.0,False,0.4383279139499952,,,0.0,0.43832791394999526,11.0
Andhra Pradesh,Bapatla,NANDIGAM SURESH,MALE,42.0,SC,YSRCP,Ceiling Fan,592250.0,6007.0,598257.0,40.734582489883714,47.10692457783398,1468671.0,2019,1.0,True,47.23732956860367,582192.0,16065.0,0.0,47.23732956860368,1.0
Andhra Pradesh,Bapatla,MALYADRI SRIRAM,MALE,65.0,SC,TDP,Bicycle,577403.0,4789.0,582192.0,39.64073642088664,45.8419619558456,1468671.0,2019,2.0,False,45.96886518035645,42580.0,,0.0,45.96886518035646,2.0
Andhra Pradesh,Bapatla,K. DEVANAND,MALE,64.0,SC,BSP,Elephant,42262.0,318.0,42580.0,2.899219770799587,3.352761185450686,1468671.0,2019,3.0,False,3.3620425553418416,13218.0,,0.0,3.3620425553418416,3.0
Andhra Pradesh,Bapatla,NOTA,,,,NOTA,,13178.0,40.0,13218.0,0.8999973445380212,1.0407890406126623,1468671.0,2019,4.0,False,1.0436702324215237,13155.0,,0.0,1.043670232421524,4.0
Andhra Pradesh,Bapatla,J.D. SEELAM,MALE,65.0,SC,INC,Hand,12941.0,214.0,13155.0,0.8957077521105815,1.0358284028793745,1468671.0,2019,5.0,False,1.0386958622715343,10351.0,,0.0,1.0386958622715345,5.0
Andhra Pradesh,Bapatla,CHALLAGALI KISHORE KUMAR,MALE,43.0,SC,BJP,Lotus,9842.0,509.0,10351.0,0.704786844705179,0.8150406536073286,1468671.0,2019,6.0,False,0.8172969114688446,1951.0,,0.0,0.8172969114688449,6.0
Andhra Pradesh,Bapatla,BUSSA NAGARAJU,MALE,29.0,SC,IND,CCTV Camera,1943.0,8.0,1951.0,0.1328411877132455,0.1536222891689593,1468671.0,2019,7.0,False,0.1540475581369641,1276.0,,0.0,0.15404755813696414,7.0
Andhra Pradesh,Bapatla,GOLLA BABURAO,MALE,46.0,SC,IND,Stumps,1271.0,5.0,1276.0,0.0868812688478222,0.1004725991694475,1468671.0,2019,8.0,False,0.1007507351013666,885.0,,0.0,0.10075073510136662,8.0
Andhra Pradesh,Bapatla,KUMAR KATTEPOGU,MALE,53.0,SC,PPOI,FLUTE,877.0,8.0,885.0,0.0602585602902215,0.069685149110471,1468671.0,2019,9.0,False,0.0698780568688945,655.0,,0.0,0.06987805686889452,9.0
Andhra Pradesh,Bapatla,GELLA NAGAMALLI,FEMALE,34.0,SC,IND,Basket containing Fruits,651.0,4.0,655.0,0.0445981434916329,0.0515748843698966,1468671.0,2019,10.0,False,0.0517176579086168,606.0,,0.0,0.05171765790861681,10.0
Andhra Pradesh,Bapatla,NUTHAKKI RAMA RAO,MALE,71.0,SC,AINPP,Boat with Man and Sail,600.0,6.0,606.0,0.0412617938258466,0.0477166105773394,1468671.0,2019,11.0,False,0.0478487033475142,530.0,,0.0,0.047848703347514204,11.0
Andhra Pradesh,Bapatla,GADDE HARI BABU,MALE,40.0,SC,NPT,Bat,521.0,9.0,530.0,0.0360870474054434,0.0417323491848018,1468671.0,2019,12.0,False,0.0418478758649877,466.0,,0.0,0.041847875864987706,12.0
Andhra Pradesh,Bapatla,CHINA NAGESWARA RAO SADHU,MALE,35.0,SC,MPP,Telephone,463.0,3.0,466.0,0.0317293662093144,0.0366929711700333,1468671.0,2019,13.0,False,0.0367945474586495,370.0,,0.0,0.036794547458649504,13.0
Andhra Pradesh,Bapatla,THUMATI RAVI,MALE,46.0,SC,AlPP,Cot,368.0,2.0,370.0,0.0251928444151208,0.0291339041478805,1468671.0,2019,14.0,False,0.0292145548491423,,,0.0,0.029214554849142302,14.0
