state,constituency,candidate,gender,age,category,party,party_symbol,total_votes_polled_in_the_constituency,valid_votes,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,over_total_valid_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes,raw_swing,sim_vote_share,sim_rank
Rajasthan,NAGAUR,HARI RAM,MALE,42.0,SC,IND,Coat,1241279.0,1229702.0,7610.0,16.0,7626.0,0.35,0.61,0.62,2155502.0,2024,7.0,False,0.6157582765227825,4512.0,,0.0,0.6157582765227826,7.0
Rajasthan,NAGAUR,PREMRAJ KHARDIYA,MALE,41.0,SC,IND,Tyres,1241279.0,1229702.0,4504.0,8.0,4512.0,0.21,0.36,0.37,2155502.0,2024,8.0,False,0.3643196097129287,4463.0,,0.0,0.36431960971292876,8.0
Rajasthan,NAGAUR,AMEEN KHAN,MALE,33.0,GENERAL,IND,Glass tumbler,1241279.0,1229702.0,4439.0,24.0,4463.0,0.21,0.36,0.36,2155502.0,2024,9.0,False,0.3603631245897165,2882.0,,0.0,0.36036312458971653,9.0
Rajasthan,NAGAUR,HANUMAN SINGH KALVI,MALE,59.0,GENERAL,RJSPS,Chakki,1241279.0,1229702.0,2862.0,20.0,2882.0,0.13,0.23,0.23,2155502.0,2024,10.0,False,0.2327059209203592,,,0.0,0.23270592092035922,10.0
Rajasthan,PALI,P. P. CHAUDHARY,MALE,70.0,GENERAL,BJP,Lotus,1355574.0,1339989.0,750568.0,6821.0,757389.0,32.25,55.87,56.52,2348274.0,2024,1.0,True,55.9436773271918,512038.0,245351.0,0.0,55.943677327191786,1.0
Rajasthan,PALI,SANGEETA BENIWAL,FEMALE,45.0,GENERAL,INC,Hand,1355574.0,1339989.0,505754.0,6284.0,512038.0,21.8,37.77,38.21,2348274.0,2024,2.0,False,37.821104678389354,19002.0,,0.0,37.82110467838935,2.0
Rajasthan,PALI,LAL SINGH DEWASI,MALE,57.0,GENERAL,IND,Flute,1355574.0,1339989.0,18848.0,154.0,19002.0,0.81,1.4,1.42,2348274.0,2024,3.0,False,1.4035611245625412,17097.0,,0.0,1.403561124562541,3.0
Rajasthan,PALI,HUKAM SINGH,MALE,65.0,GENERAL,IND,Apple,1355574.0,1339989.0,16835.0,262.0,17097.0,0.73,1.26,1.28,2348274.0,2024,4.0,False,1.2628504655639283,13853.0,,0.0,1.262850465563928,4.0
Rajasthan,PALI,NOTA,,,,NOTA,NOTA,1355574.0,1339989.0,13763.0,90.0,13853.0,0.59,1.02,1.03,2348274.0,2024,5.0,False,1.023236094019834,11101.0,,0.0,1.023236094019834,5.0
Rajasthan,PALI,MAHENDRA REGAR,MALE,33.0,SC,BSP,Elephant,1355574.0,1339989.0,11054.0,47.0,11101.0,0.47,0.82,0.83,2348274.0,2024,6.0,False,0.8199627430675072,8347.0,,0.0,0.8199627430675072,6.0
