party,candidate_count,party_type,alliance_2024,ideology,region
MwSP,3,unknown,OTHER,unknown,unknown
UKKD,3,unknown,OTHER,unknown,unknown
NBNGPLPP,3,unknown,OTHER,unknown,unknown
AIAM,3,unknown,OTHER,unknown,unknown
PDS,3,unknown,OTHER,unknown,unknown
CHALP,2,unknown,OTHER,unknown,unknown
JNSHSK,2,unknown,OTHER,unknown,unknown
JnP,2,regional,NDA,regional_centre,andhra_pradesh
JAC,2,unknown,OTHER,unknown,unknown
AHNP,2,unknown,OTHER,unknown,unknown
AGP,2,regional,NDA,regional_centre,assam
BNGNBNRMS,2,unknown,OTHER,unknown,unknown
AHFBK,2,unknown,OTHER,unknown,unknown
BDlP,2,unknown,OTHER,unknown,unknown
AJPR,2,unknown,OTHER,unknown,unknown
LSWP,2,unknown,OTHER,unknown,unknown
HNDPPD,2,unknown,OTHER,unknown,unknown
BJKD,2,unknown,OTHER,unknown,unknown
BJKVP,2,unknown,OTHER,unknown,unknown
APKSP,2,unknown,OTHER,unknown,unknown
BRMNP,2,unknown,OTHER,unknown,unknown
BRTYLKNYKP,2,unknown,OTHER,unknown,unknown
AJP,2,unknown,OTHER,unknown,unknown
LCPY,2,unknown,OTHER,unknown,unknown
RGOP,2,unknown,OTHER,unknown,unknown
LSEP,2,unknown,OTHER,unknown,unknown
ASSP,2,unknown,OTHER,unknown,unknown
SUSP,2,unknown,OTHER,unknown,unknown
BBC,2,unknown,OTHER,unknown,unknown
RVLTGONP,2,unknown,OTHER,unknown,unknown
PAP,2,unknown,OTHER,unknown,unknown
MLCNG,2,unknown,OTHER,unknown,unknown
GSSP,2,unknown,OTHER,unknown,unknown
SRSMJNP,2,unknown,OTHER,unknown,unknown
SMBSP,2,unknown,OTHER,unknown,unknown
RasLP,2,unknown,OTHER,unknown,unknown
VINPA,2,unknown,OTHER,unknown,unknown
AADMPRVTNP,2,unknown,OTHER,unknown,unknown
HCHLJP,2,unknown,OTHER,unknown,unknown
JAKAP,2,unknown,OTHER,unknown,unknown
DPAP,2,unknown,OTHER,unknown,unknown
NAUP,2,unknown,OTHER,unknown,unknown
JPC,2,unknown,OTHER,unknown,unknown
ABHM,2,unknown,OTHER,unknown,unknown
SVSAP,2,unknown,OTHER,unknown,unknown
BHAZS,2,unknown,OTHER,unknown,unknown
RCMP,2,unknown,OTHER,unknown,unknown
AIUC,2,unknown,OTHER,unknown,unknown
KJP,2,unknown,OTHER,unknown,unknown
SJPA,2,unknown,OTHER,unknown,unknown
IMP,2,unknown,OTHER,unknown,unknown
JaHP,2,unknown,OTHER,unknown,unknown
DJP,2,unknown,OTHER,unknown,unknown
TTPty,2,unknown,OTHER,unknown,unknown
PPIS,2,unknown,OTHER,unknown,unknown
RSTWDIBHRT,2,unknown,OTHER,unknown,unknown
PRVPOI,2,unknown,OTHER,unknown,unknown
BAWPA,2,unknown,OTHER,unknown,unknown
INDPPLSADH,2,unknown,OTHER,unknown,unknown
SPAKP,2,unknown,OTHER,unknown,unknown
RPIS,2,unknown,OTHER,unknown,unknown
RBS,2,unknown,OTHER,unknown,unknown
ARP,2,unknown,OTHER,unknown,unknown
BPSJP,2,unknown,OTHER,unknown,unknown
DSPVAD,2,unknown,OTHER,unknown,unknown
LKSWRJP,2,unknown,OTHER,unknown,unknown
NRSP,2,unknown,OTHER,unknown,unknown
SANBP,2,unknown,OTHER,unknown,unknown
SaRaPa,2,unknown,OTHER,unknown,unknown
SWP,2,unknown,OTHER,unknown,unknown
NBPP,2,unknown,OTHER,unknown,unknown
SERSNMH,2,unknown,OTHER,unknown,unknown
DaP,2,unknown,OTHER,unknown,unknown
VSP,2,unknown,OTHER,unknown,unknown
AZSP,2,unknown,OTHER,unknown,unknown
BHLBP,2,unknown,OTHER,unknown,unknown
JDKRP,2,unknown,OTHER,unknown,unknown
BJJP,2,unknown,OTHER,unknown,unknown
SamAP,2,unknown,OTHER,unknown,unknown
ssrd,2,unknown,OTHER,unknown,unknown
KRUP,2,unknown,OTHER,unknown,unknown
