sr_no,party_type,abbreviation,party_symbol,party_name,year
175,U,BHAJASP,Ganna kisan,Bhartiya Janta Secular Party,2024
176,U,BhAmAP,Capsicum,Bharatiya Aam Awam Party,2024
177,U,BHAZS,"Flute,Scissors",Bhartiya Azad Sena,2024
178,U,BhBSP,Gas cylinder,Bharatiya Bahujan Samta Party,2024
179,U,BHJJP,Air conditioner,Bharat Jago Janta Party,2024
180,U,BHJMP,Almirah,Bharatiya Jan Morcha Party,2024
181,U,BHLBP,"Auto- rickshaw,Stethoscope",Bharatiya Liberal Party,2024
182,U,bhmm,Tyres,Bhrashtachar Mukti Morcha,2024
183,U,BHMPP,"Diamond,Road roller",Bharat Mahaparivar Party,2024
184,U,BHMS,"Auto- rickshaw,Bat,Flute,Gas cylinder,Plate containing food",Bhim Sena,2024
185,U,BhNP,Bucket,Bharat Nirman Party,2024
186,U,bhp,Nagrik,Bhartiya Party,2024
187,U,BHRASP,Auto- rickshaw,Bhartiya Asmita Party,2024
188,U,BHRBKP,Auto- rickshaw,Bharatiya Bikash Parishad,2024
189,U,BHRJAP,Ganna kisan,Bhartiya Jan Adhikar Party,2024
190,U,BHRJWNKP,"Diamond,Gas cylinder,Gift pack",Bharatheeya Jawan Kisan Party,2024
191,U,BHRLVP,Almirah,Bharatiya Lokvikas Party,2024
192,U,BHRTADVSIP,Hockey and ball,Bharat Adivasi Party,2024
193,U,BHRTASP,"Auto- rickshaw,Truck",Bharatiya Asha Party,2024
194,U,BHRTJDOP,"Diamond,Electric pole",Bharat Jodo Party,2024
195,U,BHRTJNTM,Gas cylinder,Bhartiya Jantantra Morcha,2024
196,U,BHRTLKCHTP,"Chimney,Coconut farm,Cot",Bhartiya Lok Chetna Party,2024
197,U,BHRTPNCLP,Battery Torch,Bhartiya Panchsheel Party,2024
198,U,BHRTPRJAIK,Ganna kisan,Bharatiya Praja Aikyata Party,2024
199,U,BHRTSP,Boat with man and sail,Bhartiya Sarthak Party,2024
200,U,BHRTSRVDHN,Auto- rickshaw,Bhartiya Sarvdharm Party,2024
201,U,BHRTYLKVNP,Computer,Bhartiya Lokvani Party,2024
202,U,BHUDRP,"Diamond,Ganna kisan,Pen nib with seven rays",Bahujan Dravida Party,2024
203,U,BHUNP,Bat,Bhartiya Uday Nirman Party,2024
204,U,BHYUJEP,"Battery Torch,Diamond,Ganna kisan,Pen nib with seven rays",Bharatiya Yuva Jan Ekta Party,2024
205,U,BIP,Balloon,Bharatiya Inqalab Party,2024
