state,constituency,candidate,sex,age,category,party,party_symbol,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes
Andhra Pradesh,Guntur,Ramarao Simhadri,MALE,41.0,GENERAL,PRSHP,Helicopter,1744.0,2.0,1746.0,0.10233752745265719,0.1291872082466721,1706119.0,2019,11,False,0.12919227450916554,1017.0,
Andhra Pradesh,Guntur,Sarabandi Raju Sikhinam,MALE,35.0,SC,ILP(AP),BUCKET,1015.0,2.0,1017.0,0.05960897217603227,0.07524821923646365,1706119.0,2019,12,False,0.0752511702037923,920.0,
Andhra Pradesh,Guntur,Nagaraju Ekula,MALE,42.0,SC,RPI(A),Laptop,920.0,0.0,920.0,0.053923553984217984,0.06807115211164853,1706119.0,2019,13,False,0.06807382161994976,810.0,
Andhra Pradesh,Guntur,Araveti Hazarath Rao,MALE,68.0,GENERAL,PPOI,FLUTE,808.0,2.0,810.0,0.04747617252958322,0.05993221001134272,1706119.0,2019,14,False,0.05993456033930361,641.0,
Andhra Pradesh,Guntur,N. J. Vidyasagar,MALE,51.0,SC,VCK,Stool,639.0,2.0,641.0,0.037570650112917096,0.04742783532996381,1706119.0,2019,15,False,0.04742969528085631,629.0,
Andhra Pradesh,Guntur,Doppalapudi Veera Das,MALE,60.0,SC,IND,Gas Cylinder,629.0,0.0,629.0,0.03686729940877512,0.04653995073720318,1706119.0,2019,16,False,0.04654177586842218,628.0,
Andhra Pradesh,Guntur,Samudrala Chinna Kotaiah,MALE,41.0,SC,NDDHP,Battery Torch,628.0,0.0,628.0,0.036808686850096625,0.046465960354473125,1706119.0,2019,17,False,0.046467782584052666,563.0,
Andhra Pradesh,Guntur,Shaik Jaleel,MALE,43.0,GENERAL,NRCP,Scissors,560.0,3.0,563.0,0.03299887053599426,0.0416565854770197,1706119.0,2019,18,False,0.04165821910003448,447.0,
Andhra Pradesh,Guntur,Ullagi David Jayakumar (Dr. D J Kumar),MALE,61.0,GENERAL,HMRD,Gift Pack,447.0,0.0,447.0,0.026199813729288517,0.03307370108033358,1706119.0,2019,19,False,0.033074998113171244,437.0,
Andhra Pradesh,Guntur,Jeldi Raja Mohan,MALE,61.0,SC,AINPP,Boat with Man and Sail,437.0,0.0,437.0,0.02561368814250354,0.03233379725303305,1706119.0,2019,20,False,0.032335065269476146,,
Andhra Pradesh,Hindupur,KURUVA GORANTLA MADHAV,MALE,50.0,GENERAL,YSRCP,Ceiling Fan,699739.0,6863.0,706602.0,44.77214174467659,52.730430058498825,1578218.0,2019,1,True,52.790034321643255,565854.0,140748.0
Andhra Pradesh,Hindupur,KRISTAPPA . NIMMALA,MALE,63.0,GENERAL,TDP,Bicycle,561602.0,4252.0,565854.0,35.853982149487585,42.227059604022905,1578218.0,2019,2,False,42.27479129841003,27156.0,
