district_id,state,district,survey,survey_year,fertility_rate,electricity_pct,improved_sanitation_pct,lpg_pct,mobile_phone_pct,bank_account_pct,women_secondary_edu_pct,female_literacy_pct,male_literacy_pct,wealth_index_mean,urban_pct
UTTAR_PRADESH__39,Uttar Pradesh,39,NFHS-4,2016,11.376432344617736,24.01867597878613,23.07882798403376,11.10272321640068,4.749666511495571,,20.353762355965745,10.850735280236012,,,23.82490890139715
UTTAR_PRADESH__4,Uttar Pradesh,4,NFHS-4,2016,11.122897220675034,85.03520505333503,70.47308356364181,55.124945217231414,17.90045813265607,,46.650800679133475,14.692114591287863,,,67.7301828144531
UTTAR_PRADESH__41,Uttar Pradesh,41,NFHS-4,2016,15.41316806366948,23.364127364907063,22.455988074503296,3.9252738635669178,1.9116435268449783,,16.612723830253497,15.810680362020817,,,13.88481687346014
UTTAR_PRADESH__42,Uttar Pradesh,42,NFHS-4,2016,13.938634542930052,9.66233985019441,11.024037291212256,0.6826907336352659,2.0601858874278824,,10.788901452253713,5.028464102682375,,,16.125149614333196
UTTAR_PRADESH__43,Uttar Pradesh,43,NFHS-4,2016,11.569426880240725,0.0,0.0,0.0,0.0,,12.49601428881912,12.682004955785809,,,0.0
UTTAR_PRADESH__44,Uttar Pradesh,44,NFHS-4,2016,13.344276688876274,34.46271491113286,0.6544375356972775,0.0,0.6571813242134117,,13.601653513539697,13.791249738569547,,,0.0
UTTAR_PRADESH__45,Uttar Pradesh,45,NFHS-4,2016,15.059854992866176,46.173017123079184,23.530062165710536,15.986760282262658,10.941946787256176,,22.3186693605224,7.020634610583651,,,31.107708092479736
UTTAR_PRADESH__46,Uttar Pradesh,46,NFHS-4,2016,19.539771636111382,1.751534464843708,1.0918116327151222,0.0,0.0,,3.3929016161426873,5.690509060836011,,,0.0
UTTAR_PRADESH__47,Uttar Pradesh,47,NFHS-4,2016,16.462170755569122,7.694420784066497,2.9707063701277,0.8535780291386827,0.4259653629579173,,7.377520347087839,9.363207499337154,,,9.7972033480321
UTTAR_PRADESH__48,Uttar Pradesh,48,NFHS-4,2016,13.218686144556322,16.853981625407233,10.291051867531367,5.145525933765685,1.1434502075034854,,14.708924207652071,17.961630919405632,,,0.0
