state_code_2011,district_code_2011,state_2011,district,population_total,male_population,female_population,households,rural_population,urban_population,rural_households,urban_households,sc_population,st_population,literates_total,male_literates,female_literates,age_0_6_population,workers_total,main_workers_total,marginal_workers_total,non_workers_total,urban_pct,rural_pct,sc_pct,st_pct,sex_ratio,literacy_rate,male_literacy,female_literacy,child_0_6_pct,worker_pct,main_worker_pct,marginal_worker_pct,non_worker_pct,source_year,geography_level
3,38,PUNJAB,HOSHIARPUR,1586625,809057,777568,336994,1251656,334969,264831,72163,557504,0,1199699,637927,561772,168331,499822,411011,88811,1086803,21.112046009611596,78.88795399038841,35.13772945718112,0.0,961.0793800684006,75.61326715512487,78.84821464989487,72.24731470430882,10.609375246198692,31.502213818640197,25.90473489324825,5.597478925391949,68.49778618135981,2011,district
3,39,PUNJAB,SHAHID BHAGAT SINGH NAGAR,612310,313291,299019,129500,486894,125416,102766,26734,260284,0,438459,239155,199304,62719,204329,173507,30822,407981,20.4824353677059,79.5175646322941,42.50853325929676,0.0,954.4449090462223,71.6073557511718,76.33637736162227,66.65262073647494,10.243014159494374,33.370188303310414,28.336463556041874,5.033724747268541,66.62981169668959,2011,district
3,40,PUNJAB,FATEHGARH SAHIB,600163,320795,279368,118100,414681,185482,78997,39103,192493,0,426033,238696,187337,63271,214783,192845,21938,385380,30.90527073478372,69.09472926521629,32.07345337849884,0.0,870.8614535762714,70.98621541147988,74.40764351065322,67.05742962687208,10.54230267444011,35.78744441093503,32.132104111716316,3.6553402992187123,64.21255558906496,2011,district
3,41,PUNJAB,LUDHIANA,3498739,1867816,1630923,716826,1429031,2069708,280796,436030,923358,0,2560225,1428348,1131877,384114,1284822,1138654,146168,2213917,59.1558272852019,40.844172714798106,26.39116550277114,0.0,873.1711260638093,73.17564985556224,76.4715582262921,69.4010078955291,10.9786411618586,36.722430567127184,32.544696817910676,4.177733749216504,63.277569432872816,2011,district
3,42,PUNJAB,MOGA,995746,525920,469826,193256,768500,227246,147298,45958,363417,0,627889,348549,279340,107336,359172,304880,54292,636574,22.821683441359543,77.17831655864046,36.496958059585474,0.0,893.3411925768178,63.057145095235136,66.27414815941589,59.456053943374776,10.779455804994447,36.07064452179572,30.618250035651663,5.4523944861440565,63.929355478204286,2011,district
3,43,PUNJAB,FIROZPUR,2029074,1071637,957437,385994,1476518,552556,276967,109027,855726,0,1227511,707070,520441,248103,756695,618362,138333,1272379,27.231929441705923,72.76807055829407,42.173227787650916,0.0,893.434063960091,60.49611793359927,65.98036461973598,54.35772797583549,12.227400282099126,37.29262708013606,30.475083708134843,6.817543372001218,62.707372919863936,2011,district
3,44,PUNJAB,MUKTSAR,901896,475622,426274,174360,649705,252191,124124,50236,381554,0,524848,300401,224447,104419,335326,287205,48121,566570,27.962314945403904,72.0376850545961,42.30576474449382,0.0,896.2453376841273,58.19384940170485,63.159609942349185,52.65322304433299,11.57772071280946,37.18011832849907,31.8445807498869,5.3355375786121675,62.81988167150093,2011,district
3,45,PUNJAB,FARIDKOT,617508,326671,290837,120893,400457,217051,76728,44165,240328,0,381285,215767,165518,69311,221555,190415,31140,395953,35.1495041359788,64.8504958640212,38.91900995614632,0.0,890.3055367632878,61.745758759400694,66.05024627224333,56.9109157363059,11.224308025159187,35.878887399029644,30.836037751737628,5.0428496472920195,64.12111260097035,2011,district
3,46,PUNJAB,BATHINDA,1388525,743197,645328,273902,889308,499217,171292,102610,450473,0,844868,488261,356607,151145,549986,452678,97308,838539,35.953043697448734,64.04695630255127,32.44255594965881,0.0,868.313515797292,60.84643776669487,65.69738575370998,55.25980586616418,10.88529194648998,39.609369654849566,32.60135755567959,7.008012099169983,60.390630345150434,2011,district
3,47,PUNJAB,MANSA,769751,408732,361019,149630,606147,163604,117232,32398,258878,0,423560,244037,179523,84763,328512,247175,81337,441239,21.254145821181137,78.74585417881886,33.63139508750233,0.0,883.2658074239355,55.025586196055606,59.70587083957214,49.72674568374518,11.011742758372513,42.67769707346921,32.11103330817368,10.56666376529553,57.32230292653079,2011,district
3,48,PUNJAB,PATIALA,1895686,1002522,893164,372293,1132406,763280,214257,158036,465359,0,1266791,711052,555739,212892,660267,570391,89876,1235419,40.26405216897736,59.73594783102265,24.548316546094657,0.0,890.9171070560049,66.82493830729351,70.92632381134779,62.22138375483114,11.230340889788708,34.829977116463375,30.0888965788638,4.741080537599581,65.17002288353662,2011,district
3,49,PUNJAB,AMRITSAR,2490656,1318408,1172248,488898,1156045,1334611,214993,273905,770864,0,1684770,932981,751789,281795,917856,787254,130602,1572800,53.584718242904685,46.415281757095315,30.950239615587215,0.0,889.1390222146711,67.6436248120977,70.76572654292146,64.13224846619487,11.314087533565456,36.851977952796375,31.608299179011475,5.243678773784898,63.14802204720363,2011,district
3,50,PUNJAB,TARN TARAN,1119627,589369,530258,203421,977832,141795,176669,26752,377468,0,666162,376427,289735,137223,380702,316310,64392,738925,12.664485583145101,87.33551441685489,33.713727875444235,0.0,899.7045993257195,59.498565147142756,63.869494323590146,54.64038260620302,12.256135302203324,34.00257407154347,28.251373001901527,5.751201069641943,65.99742592845654,2011,district
3,51,PUNJAB,RUPNAGAR,684627,357485,327142,135635,506820,177807,97827,37808,180905,0,502731,278534,224197,72926,233676,194209,39467,450951,25.97136835094146,74.02863164905854,26.423877527471163,0.0,915.1209141642307,73.43137211941685,77.91487754730969,68.5320136209964,10.651931635766628,34.13187034691884,28.367125456635513,5.764744890283322,65.86812965308117,2011,district
3,52,PUNJAB,SAHIBZADA AJIT SINGH NAGAR,994628,529253,465375,205411,450017,544611,85123,120288,216231,0,736575,409944,326631,115644,355995,316236,39759,638633,54.75524517709134,45.24475482290867,21.739886671197674,0.0,879.3053605742433,74.05532520701207,77.45709518887942,70.18662369057212,11.626859489175853,35.791773406741015,31.794399514190232,3.9973738925507827,64.20822659325898,2011,district
3,53,PUNJAB,SANGRUR,1655169,878029,777140,318870,1139204,515965,217864,101006,461609,0,1002077,570413,431664,181334,568758,499792,68966,1086411,31.172949710875447,68.82705028912456,27.888934604260957,0.0,885.0960503582455,60.54227695177955,64.96516629860744,55.54520421030959,10.955618429296344,34.36253337272508,30.195828945563868,4.166704427161214,65.63746662727492,2011,district
3,54,PUNJAB,BARNALA,595527,317522,278005,115798,404842,190685,76657,39141,192001,0,359831,201999,157832,64987,209331,186434,22897,386196,32.01953899655263,67.98046100344737,32.24051974133834,0.0,875.5456314838027,60.42228144147956,63.6173241539169,56.77307962087013,10.912519499535705,35.15054733034774,31.305717456975085,3.84482987337266,64.84945266965225,2011,district
4,55,CHANDIGARH,CHANDIGARH,1055450,580663,474787,241173,28991,1026459,7140,234033,199086,0,805438,465346,340092,119434,404136,385929,18207,651314,97.25320953147947,2.7467904685205364,18.86266521388981,0.0,817.6636017793454,76.31228385996495,80.14046012919714,71.63043638515798,11.315931593159316,38.290397460798715,36.565351271969305,1.7250461888294093,61.70960253920129,2011,district
5,56,UTTARAKHAND,UTTARKASHI,330086,168597,161489,67602,305781,24305,61914,5688,80567,3512,215126,128237,86889,46307,157276,128367,28909,172810,7.363232612107148,92.63676738789285,24.407881582375502,1.0639651484764576,957.8402937181563,65.17271256581618,76.06125850400659,53.80490312033637,14.028768260392747,47.646976848457676,38.888956211411575,8.758020637046103,52.353023151542324,2011,district
5,57,UTTARAKHAND,CHAMOLI,391605,193991,197614,88964,332209,59396,74318,14646,79317,12260,280556,155395,125161,52161,180940,115115,65825,210665,15.16732421700438,84.83267578299562,20.254337917033745,3.130705685576027,1018.6761241500894,71.6425990475096,80.10423163961214,63.33609966905179,13.3197992875474,46.20472159446381,29.3956920876904,16.809029506773406,53.795278405536195,2011,district
5,58,UTTARAKHAND,RUDRAPRAYAG,242285,114589,127696,53542,232360,9925,50882,2660,47679,386,170933,91803,79130,32046,113032,78950,34082,129253,4.096415378583074,95.90358462141693,19.67889056276699,0.15931650741894876,1114.3827068915864,70.55038487731392,80.11501976629519,61.96748527753414,13.226572012299565,46.652496027405746,32.5855913490311,14.066904678374643,53.347503972594254,2011,district
5,59,UTTARAKHAND,TEHRI GARHWAL,618931,297986,320945,132714,548792,70139,115691,17023,102130,875,407994,227406,180588,84657,280442,165912,114530,338489,11.332280981240235,88.66771901875975,16.501031617417773,0.1413727863041276,1077.047243830247,65.91914122898999,76.31432349170767,56.26758478867095,13.67793825159832,45.31070507051675,26.806219110046193,18.504485960470554,54.68929492948325,2011,district
5,60,UTTARAKHAND,DEHRADUN,1696694,892199,804495,347001,754753,941941,144112,202889,228901,111663,1259506,702216,557290,201652,582768,488161,94607,1113926,55.51625690902425,44.48374309097575,13.49100073436931,6.581210283056343,901.6990604114104,74.23294948882946,78.70620791998198,69.2720277938334,11.884995172965779,34.347265918309375,28.771304666604586,5.575961251704785,65.65273408169064,2011,district
5,61,UTTARAKHAND,GARHWAL,687271,326829,360442,161778,574568,112703,136180,25598,122361,2215,494889,262148,232741,83901,274152,164439,109713,413119,16.39862586956237,83.60137413043763,17.80389395158533,0.3222891697743685,1102.8458306943387,72.00783970224263,80.20952853020998,64.57099894019011,12.207848141417287,39.889941522339804,23.926369656220036,15.96357186611977,60.1100584776602,2011,district
5,62,UTTARAKHAND,PITHORAGARH,483439,239306,244133,114730,413834,69605,96971,17759,120378,19535,345550,189623,155927,63293,216490,145481,71009,266949,14.397886806815338,85.60211319318466,24.90034937189594,4.0408407265446105,1020.1708273089685,71.47747699296086,79.23871528503255,63.86969397828233,13.092241213472642,44.78124437622947,30.092938302453874,14.688306073775594,55.218755623770534,2011,district
5,63,UTTARAKHAND,BAGESHWAR,259898,124326,135572,58046,250819,9079,55992,2054,72061,1982,179483,97546,81937,35560,123638,78085,45553,136260,3.493293522843577,96.50670647715643,27.726646607515253,0.7626068688485482,1090.4557373357143,69.0590154599112,78.45985554107749,60.43799604638126,13.682290744830663,47.57173968249082,30.044478987910644,17.527260694580182,52.42826031750918,2011,district
5,64,UTTARAKHAND,ALMORA,622506,291081,331425,140577,560192,62314,125209,15368,150995,1281,436497,231604,204893,80082,298211,201078,97133,324295,10.01018464079061,89.98981535920939,24.255991106913026,0.2057811490973581,1138.6005957104724,70.11932415109253,79.56685596105551,61.82182997661613,12.86445431851259,47.90491979193775,32.3013754084298,15.60354438350795,52.09508020806225,2011,district
5,65,UTTARAKHAND,CHAMPAWAT,259648,131125,128523,53953,221305,38343,45741,8212,47383,1339,177726,102015,75711,37028,99566,62698,36868,160082,14.767300345082573,85.23269965491743,18.24893702243037,0.5156981759921124,980.1563393708293,68.44882302193739,77.7998093422307,58.908522210032444,14.260845452304657,38.34653068770027,24.147307123490265,14.199223564210007,61.65346931229973,2011,district
5,66,UTTARAKHAND,NAINITAL,954605,493666,460939,191383,582871,371734,114954,76429,191206,7495,696500,385779,310721,124272,376181,296424,79757,578424,38.94113271981605,61.05886728018395,20.029855280456317,0.7851414983160575,933.7061900151115,72.96211522043149,78.14575036563183,67.41043825755686,13.01815934339334,39.40697985030457,31.052005803447496,8.354974046857077,60.59302014969542,2011,district
5,67,UTTARAKHAND,UDHAM SINGH NAGAR,1648902,858783,790119,308581,1062142,586760,198645,109936,238264,123037,1037839,598525,439314,229162,591458,450762,140696,1057444,35.58489224950907,64.41510775049093,14.449858148028202,7.461753336462689,920.0449939041644,62.94121785284996,69.6945561335052,55.60099174934409,13.897854451022559,35.86980912146386,27.337100688822012,8.532708432641844,64.13019087853614,2011,district
5,68,UTTARAKHAND,HARDWAR,1890422,1005295,885127,338104,1197328,693094,204477,133627,411274,6323,1178354,691411,486943,285693,578121,495152,82969,1312301,36.663453980116614,63.336546019883386,21.755671484991183,0.3344755827005822,880.4649381524827,62.3328547805728,68.77692617589861,55.013913257645505,15.112657385493822,30.581584429296736,26.192670208027625,4.388914221269113,69.41841557070326,2011,district
6,69,HARYANA,PANCHKULA,561293,299679,261614,117107,248063,313230,46154,70953,101830,0,405318,229862,175456,66302,211479,182831,28648,349814,55.80507863094676,44.19492136905324,18.142039897166008,0.0,872.9807560756676,72.2114831291322,76.70273859696543,67.06674719242855,11.81236894099873,37.67711337928675,32.573183702629464,5.103929676657289,62.32288662071325,2011,district
6,70,HARYANA,AMBALA,1128350,598703,529647,224334,627576,500774,117702,106632,296246,0,818025,461288,356737,127689,372139,319475,52664,756211,44.38108742854611,55.61891257145389,26.254796827225597,0.0,884.6573342709156,72.49745203172775,77.04788517846077,67.35372804905909,11.316435503168343,32.98081269109762,28.31346656622502,4.667346124872602,67.01918730890239,2011,district
6,71,HARYANA,YAMUNANAGAR,1214205,646718,567487,235423,741376,472829,136652,98771,306743,0,832457,474793,357664,146789,389233,339024,50209,824972,38.94144728443714,61.058552715562854,25.26286747295556,0.0,877.4875602658345,68.55983956580644,73.41577008835381,63.02593715803181,12.089309465864496,32.05661317487574,27.92147948657764,4.1351336882981045,67.94338682512426,2011,district
6,72,HARYANA,KURUKSHETRA,964655,510976,453679,188143,685430,279225,130824,57319,215128,0,646893,370828,276065,116957,336780,285904,50876,627875,28.945581580979727,71.05441841902027,22.301029901882018,0.0,887.8675319388778,67.05951868802836,72.57248872745491,60.85029282818909,12.124230942668621,34.9119633444081,29.6379534652285,5.274009879179603,65.08803665559189,2011,district
