state,district,survey,survey_year,fertility_rate,electricity_pct,improved_sanitation_pct,lpg_pct,mobile_phone_pct,bank_account_pct,women_secondary_edu_pct,female_literacy_pct,male_literacy_pct,wealth_index_mean,urban_pct,household_count,person_count,state_key,district_key,district_panel_id,nfhs4_sdist_code,district_name_source
Arunachal Pradesh,East Kameng,NFHS-5,2020,,80.17353230304447,40.520596909133424,20.694129212177888,0.0,40.520596909133424,,,,-17916.96280260593,20.694129212177888,5,,ARUNACHAL PRADESH,EAST KAMENG,ARUNACHAL PRADESH__EAST KAMENG__NFHS-5,,
Arunachal Pradesh,Kra Daadi,NFHS-5,2020,,60.0,0.0,0.0,0.0,20.0,,,,-93322.4,0.0,5,,ARUNACHAL PRADESH,KRA DAADI,ARUNACHAL PRADESH__KRA DAADI__NFHS-5,,
Arunachal Pradesh,Kurung Kumey,NFHS-5,2020,,20.0,0.0,0.0,20.0,0.0,,,,-103764.8,0.0,5,,ARUNACHAL PRADESH,KURUNG KUMEY,ARUNACHAL PRADESH__KURUNG KUMEY__NFHS-5,,
Arunachal Pradesh,LOWER SUBANSIRI,NFHS-4,2016,,66.11313557197337,57.8045276982904,0.0,0.0,,,,,,0.0,142,,ARUNACHAL PRADESH,LOWER SUBANSIRI,ARUNACHAL PRADESH__LOWER SUBANSIRI__NFHS-4,,state_file_census_name
Arunachal Pradesh,Lohit,NFHS-5,2020,,83.00422094415458,16.9957790558454,0.0,0.0,16.9957790558454,,,,-48704.566663403595,33.9915581116908,5,,ARUNACHAL PRADESH,LOHIT,ARUNACHAL PRADESH__LOHIT__NFHS-5,,
Arunachal Pradesh,Longding,NFHS-5,2020,,58.0926859190482,16.185371838096412,16.185371838096412,16.185371838096412,16.185371838096412,,,,-34749.95848672133,16.185371838096412,5,,ARUNACHAL PRADESH,LONGDING,ARUNACHAL PRADESH__LONGDING__NFHS-5,,
Arunachal Pradesh,Namsai,NFHS-5,2020,,80.0,0.0,0.0,0.0,40.0,,,,-55936.999999999985,0.0,5,,ARUNACHAL PRADESH,NAMSAI,ARUNACHAL PRADESH__NAMSAI__NFHS-5,,
Arunachal Pradesh,PAPUM PARE,NFHS-4,2016,,96.51236576910536,82.60077095206799,11.707087917984984,8.359250711649823,,,,,,33.547775910912165,343,,ARUNACHAL PRADESH,PAPUM PARE,ARUNACHAL PRADESH__PAPUM PARE__NFHS-4,,state_file_census_name
Arunachal Pradesh,Papumpare,NFHS-5,2020,,93.81763933575536,62.90583601453223,25.541114686042977,24.999999999999996,56.18236066424463,,,,35549.956648512394,25.811672029064457,16,,ARUNACHAL PRADESH,PAPUMPARE,ARUNACHAL PRADESH__PAPUMPARE__NFHS-5,,
Arunachal Pradesh,Siang,NFHS-5,2020,,100.0,16.185371838096412,16.185371838096412,0.0,37.13902887857231,,,,-53485.45616835977,16.185371838096412,5,,ARUNACHAL PRADESH,SIANG,ARUNACHAL PRADESH__SIANG__NFHS-5,,
Arunachal Pradesh,TAWANG,NFHS-4,2016,,86.79245283018868,73.58490566037737,1.8867924528301887,0.0,,,,,,0.0,53,,ARUNACHAL PRADESH,TAWANG,ARUNACHAL PRADESH__TAWANG__NFHS-4,,state_file_census_name
Arunachal Pradesh,TIRAP,NFHS-4,2016,,47.59939518598701,67.4780668900139,22.74084296949858,3.4688127453374302,,,,,,0.0,116,,ARUNACHAL PRADESH,TIRAP,ARUNACHAL PRADESH__TIRAP__NFHS-4,,state_file_census_name
Arunachal Pradesh,Tawang,NFHS-5,2020,,94.68264412161412,73.41322060807057,52.14379709452703,35.37727133443881,46.477387734028056,,,,73137.52248454379,38.85040739856231,37,,ARUNACHAL PRADESH,TAWANG,ARUNACHAL PRADESH__TAWANG__NFHS-5,,
Arunachal Pradesh,Tirap,NFHS-5,2020,,35.78323729381994,35.78323729381994,35.78323729381994,35.78323729381994,35.78323729381994,,,,-23849.501624805627,53.674855940729906,5,,ARUNACHAL PRADESH,TIRAP,ARUNACHAL PRADESH__TIRAP__NFHS-5,,
Arunachal Pradesh,UPPER SIANG,NFHS-4,2016,,76.24315577158534,79.39493021145503,39.1747635779297,11.991061686250324,,,,,,16.75422829353179,155,,ARUNACHAL PRADESH,UPPER SIANG,ARUNACHAL PRADESH__UPPER SIANG__NFHS-4,,state_file_census_name
Arunachal Pradesh,UPPER SUBANSIRI,NFHS-4,2016,,55.02949715271328,68.44521334943794,22.911306346908617,6.030467675494373,,,,,,0.0,62,,ARUNACHAL PRADESH,UPPER SUBANSIRI,ARUNACHAL PRADESH__UPPER SUBANSIRI__NFHS-4,,state_file_census_name
Arunachal Pradesh,Upper Subansiri,NFHS-5,2020,,100.0,50.0,0.0,0.0,50.0,,,,-56690.0,100.0,2,,ARUNACHAL PRADESH,UPPER SUBANSIRI,ARUNACHAL PRADESH__UPPER SUBANSIRI__NFHS-5,,
Arunachal Pradesh,WEST KAMENG,NFHS-4,2016,,95.7142857142857,85.7142857142857,54.28571428571425,15.714285714285714,,,,,,0.0,70,,ARUNACHAL PRADESH,WEST KAMENG,ARUNACHAL PRADESH__WEST KAMENG__NFHS-4,,state_file_census_name
Arunachal Pradesh,WEST SIANG,NFHS-4,2016,,50.04466674807898,83.61927103012617,3.332694315544532,9.022394188127372,,,,,,0.0,112,,ARUNACHAL PRADESH,WEST SIANG,ARUNACHAL PRADESH__WEST SIANG__NFHS-4,,state_file_census_name
Arunachal Pradesh,West Kameng,NFHS-5,2020,,95.28720124188943,57.584811177005,28.895528196470345,33.40208173864522,42.82767925486633,,,,43267.507492055774,24.595219870231137,21,,ARUNACHAL PRADESH,WEST KAMENG,ARUNACHAL PRADESH__WEST KAMENG__NFHS-5,,
Arunachal Pradesh,West Siang,NFHS-5,2020,,100.0,50.0,0.0,0.0,50.0,,,,-50257.5,0.0,2,,ARUNACHAL PRADESH,WEST SIANG,ARUNACHAL PRADESH__WEST SIANG__NFHS-5,,
Assam,BARPETA,NFHS-4,2016,,33.83945842457661,63.33142414300664,4.469889983026384,1.3270225504566726,,,,,,6.582437697659758,136,,ASSAM,BARPETA,ASSAM__BARPETA__NFHS-4,,state_file_census_name
Assam,Biswanath,NFHS-5,2020,,58.94580932345499,76.83742797036494,58.94580932345499,41.05419067654502,58.94580932345499,,,,19380.102236043786,53.674855940729906,5,,ASSAM,BISWANATH,ASSAM__BISWANATH__NFHS-5,,
Assam,CACHAR,NFHS-4,2016,,37.65266156591978,59.76691455532407,15.060183913528173,3.4825266956528274,,,,,,3.982174083044423,241,,ASSAM,CACHAR,ASSAM__CACHAR__NFHS-4,,state_file_census_name
Assam,CHIRANG,NFHS-4,2016,,21.891021519208177,95.01148418868046,8.355725598507153,1.2339931984941872,,,,,,18.717769139654237,69,,ASSAM,CHIRANG,ASSAM__CHIRANG__NFHS-4,,state_file_census_name
Assam,DHEMAJI,NFHS-4,2016,,29.8078016183603,47.49770043761538,4.928463892327076,1.3337444389379984,,,,,,4.445814796459995,101,,ASSAM,DHEMAJI,ASSAM__DHEMAJI__NFHS-4,,state_file_census_name
Assam,DIBRUGARH,NFHS-4,2016,,14.754098360655744,45.90163934426232,3.278688524590165,0.0,,,,,,0.0,61,,ASSAM,DIBRUGARH,ASSAM__DIBRUGARH__NFHS-4,,state_file_census_name
Assam,DIMA HASAO,NFHS-4,2016,,18.303847217873393,49.422739283282205,3.9934339523124662,0.5591695670611528,,,,,,4.798794020122979,202,,ASSAM,DIMA HASAO,ASSAM__DIMA HASAO__NFHS-4,,state_file_census_name
Assam,Dhemaji,NFHS-5,2020,,100.0,0.0,0.0,0.0,0.0,,,,-32767.0,0.0,1,,ASSAM,DHEMAJI,ASSAM__DHEMAJI__NFHS-5,,
Assam,GOALPARA,NFHS-4,2016,,7.476747793850699,51.13215224929001,6.872026897156279,2.397654318434573,,,,,,21.676917606455824,145,,ASSAM,GOALPARA,ASSAM__GOALPARA__NFHS-4,,state_file_census_name
Assam,GOLAGHAT,NFHS-4,2016,,13.776412528526205,39.09303090048361,7.7788284572904365,2.05342461754623,,,,,,5.786923922175735,167,,ASSAM,GOLAGHAT,ASSAM__GOLAGHAT__NFHS-4,,state_file_census_name
