survey,survey_year,state,district,household_count,person_count,internet_pct,electricity_pct,improved_sanitation_pct,lpg_pct,mobile_phone_pct,bank_account_pct,women_secondary_edu_pct,female_literacy_pct,male_literacy_pct,fertility_rate,wealth_index_mean,urban_pct
NFHS-5,2020,Manipur,Senapati (Excluding 3 Sub-Divisions),5,,,55.260230991583825,55.260230991583825,22.36988450420808,22.36988450420808,32.89034648737575,,,,,-37427.919790552594,10.520461983167667
NFHS-5,2020,Manipur,Tamenglong,1,,,100.0,0.0,0.0,0.0,100.0,,,,,-14444.0,100.0
NFHS-5,2020,Manipur,Thoubal,18,,,39.064842642611616,24.0120565164948,5.73150930927829,5.73150930927829,36.199087987972476,,,,,-80389.63903228541,8.597263963917435
NFHS-5,2020,Manipur,Ukhrul,6,,,77.32882452019342,31.986473560580215,10.662157853526738,10.662157853526738,77.32882452019342,,,,,-17795.815926266387,31.986473560580215
NFHS-5,2020,Meghalaya,East Garo Hills,10,,,78.16906094467242,6.338121889344858,0.0,0.0,17.253591417008643,,,,,-93823.40384762664,12.676243778689717
NFHS-5,2020,Meghalaya,South Garo Hills,3,,,100.0,22.50029527712594,0.0,0.0,22.50029527712594,,,,,-77578.22334004114,22.50029527712594
NFHS-5,2020,Meghalaya,West Garo Hills,29,,,76.21491719687663,13.17146520330073,9.207284736113502,2.3018211840283755,21.099826137675194,,,,,-89503.12730364388,20.71639065625538
NFHS-5,2020,Meghalaya,West Khasi Hills,2,,,36.73508741546249,0.0,0.0,0.0,0.0,,,,,-117588.90504147013,36.73508741546249
NFHS-5,2020,Mizoram,Aizawl,5,,,75.56846551017132,26.705396530513987,2.09568477501129,2.09568477501129,2.09568477501129,,,,,-106329.9916803668,26.705396530513987
NFHS-5,2020,Mizoram,Champhai,7,,,71.45830747514272,14.374922425428233,0.0,0.0,14.374922425428233,,,,,-102346.58361186879,14.374922425428233
NFHS-5,2020,Mizoram,Kolasib,8,,,80.54461622059384,0.7704667157201879,0.7704667157201879,19.597270368064628,19.98250372592472,,,,,-88909.12481944963,41.63384866178152
NFHS-5,2020,Mizoram,Lawngtlai,10,,,85.86370319574841,28.935510220545968,0.8397325615400902,0.2799108538466968,28.375688512852577,,,,,-86727.87871677944,29.318515978742067
NFHS-5,2020,Mizoram,Lunglei,11,,,38.96004954964998,2.3360792794399603,2.3360792794399603,1.288903999643287,1.288903999643287,,,,,-123827.36875362287,2.3360792794399603
NFHS-5,2020,Mizoram,Mamit,5,,,100.0,100.0,15.799480456327657,7.082304745866057,8.717175710461602,,,,,-30644.89482515466,17.434351420923203
NFHS-5,2020,Mizoram,Saiha,7,,,52.28275237422477,28.424128561337152,27.95170725782689,0.4724213035102634,28.424128561337152,,,,,-80229.88363425636,4.565504748449543
NFHS-5,2020,Mizoram,Serchhip,13,,,45.80382475798725,34.96458970958471,12.277303521555808,11.848051139626348,33.10505691002494,,,,,-84070.85154184632,24.125354661182158
